weather_id,date,city,condition,temperature_c,humidity_percent,wind_speed_kmh,precipitation_mm,visibility_km,weather_severity_score,driving_impact_score
46,2024-09-24,Gold Coast,Storm,20.9,36,27.4,0.0,44.8,3.4,6.0
47,2024-09-24,Newcastle,Storm,19.1,89,25.9,0.0,30.6,4.1,2.9
48,2024-09-24,Canberra,Storm,21.1,77,33.4,0.0,15.7,5.8,9.3
49,2024-09-24,Sunshine Coast,Fog,22.0,35,10.1,0.0,18.6,9.3,6.8
50,2024-09-24,Wollongong,Fog,22.2,71,5.5,0.0,42.6,2.5,2.9
51,2024-09-25,Sydney,Fog,20.9,41,1.1,0.0,31.0,8.0,7.6
52,2024-09-25,Melbourne,Cloudy,18.8,33,4.6,0.0,17.5,8.8,5.6
53,2024-09-25,Brisbane,Fog,10.9,55,45.6,0.0,49.6,1.7,7.2
54,2024-09-25,Perth,Heavy Rain,17.5,44,7.3,0.0,11.8,2.4,2.9
55,2024-09-25,Adelaide,Storm,11.8,88,20.5,7.0,10.2,7.9,7.1
56,2024-09-25,Gold Coast,Light Rain,11.7,81,5.2,2.1,32.8,1.3,2.2
57,2024-09-25,Newcastle,Storm,15.1,86,46.6,0.0,33.0,7.6,1.3
58,2024-09-25,Canberra,Light Rain,18.6,78,16.9,0.0,34.7,5.1,8.9
59,2024-09-25,Sunshine Coast,Fog,22.2,43,7.5,8.8,9.1,1.2,6.0
60,2024-09-25,Wollongong,Heavy Rain,15.9,47,46.1,28.8,19.7,2.2,6.4
61,2024-09-26,Sydney,Clear,15.6,54,35.0,0.0,48.5,7.5,8.6
62,2024-09-26,Melbourne,Storm,11.0,30,40.3,0.0,35.0,6.4,2.2
63,2024-09-26,Brisbane,Light Rain,20.4,32,38.8,0.0,25.4,2.3,2.7
64,2024-09-26,Perth,Heavy Rain,24.0,71,27.0,0.0,39.3,2.2,8.6
65,2024-09-26,Adelaide,Clear,13.9,49,1.3,46.5,24.0,4.3,2.5
66,2024-09-26,Gold Coast,Light Rain,13.5,65,3.0,0.0,7.8,7.5,9.7
67,2024-09-26,Newcastle,Fog,16.5,32,20.6,0.0,43.7,5.8,9.5
68,2024-09-26,Canberra,Cloudy,11.6,63,47.6,0.0,44.5,6.7,1.1
69,2024-09-26,Sunshine Coast,Fog,20.5,66,1.6,0.0,5.8,4.3,9.1
70,2024-09-26,Wollongong,Heavy Rain,24.3,87,18.4,15.4,7.9,5.0,7.1
71,2024-09-27,Sydney,Cloudy,25.0,66,21.3,0.0,16.1,5.3,2.0
72,2024-09-27,Melbourne,Cloudy,22.6,89,21.7,0.0,30.0,7.9,8.2
73,2024-09-27,Brisbane,Clear,17.7,56,1.3,39.6,29.9,1.9,4.6
74,2024-09-27,Perth,Clear,21.5,92,8.1,0.0,29.5,5.7,8.3
75,2024-09-27,Adelaide,Light Rain,20.1,43,7.4,0.0,37.4,9.8,7.3
76,2024-09-27,Gold Coast,Partly Cloudy,17.0,95,2.1,0.0,16.1,5.2,3.1
77,2024-09-27,Newcastle,Clear,11.2,66,18.1,0.0,17.4,3.7,8.2
78,2024-09-27,Canberra,Storm,12.6,55,1.2,0.0,13.2,5.8,5.8
79,2024-09-27,Sunshine Coast,Light Rain,15.3,84,29.8,0.0,14.2,6.1,4.0
80,2024-09-27,Wollongong,Fog,25.0,55,30.3,0.0,41.4,9.4,9.3
81,2024-09-28,Sydney,Light Rain,22.6,85,41.2,0.0,31.3,5.7,8.5
82,2024-09-28,Melbourne,Light Rain,20.5,32,1.6,20.1,24.2,3.8,4.0
83,2024-09-28,Brisbane,Fog,18.8,38,39.8,0.0,31.5,7.0,2.1
84,2024-09-28,Perth,Clear,13.8,63,29.3,0.0,47.4,1.6,7.4
85,2024-09-28,Adelaide,Fog,21.4,64,28.7,0.0,35.0,7.4,3.8
86,2024-09-28,Gold Coast,Cloudy,12.6,94,1.9,0.0,34.1,6.4,5.5
87,2024-09-28,Newcastle,Fog,23.7,93,31.9,0.0,13.9,6.3,7.2
88,2024-09-28,Canberra,Light Rain,22.2,67,5.1,47.8,11.7,5.4,9.6
89,2024-09-28,Sunshine Coast,Heavy Rain,17.3,64,12.4,38.1,24.7,2.9,7.2
90,2024-09-28,Wollongong,Heavy Rain,17.7,67,29.1,49.8,25.1,1.1,7.4
91,2024-09-29,Sydney,Partly Cloudy,23.7,85,42.4,7.0,14.6,1.5,5.1
92,2024-09-29,Melbourne,Fog,23.6,51,5.3,0.0,42.8,6.9,6.9
93,2024-09-29,Brisbane,Storm,19.5,63,4.8,46.8,47.5,8.2,3.1
94,2024-09-29,Perth,Fog,20.3,95,29.8,39.0,25.2,2.3,2.0
95,2024-09-29,Adelaide,Clear,24.6,94,31.3,46.4,27.9,8.3,8.7
96,2024-09-29,Gold Coast,Light Rain,24.6,63,15.2,0.0,39.1,5.1,8.9
97,2024-09-29,Newcastle,Heavy Rain,15.3,59,28.6,0.0,27.8,4.9,1.1
98,2024-09-29,Canberra,Fog,12.6,33,13.0,0.0,26.3,5.3,1.8
99,2024-09-29,Sunshine Coast,Fog,22.6,54,19.0,0.0,31.8,1.8,6.8
100,2024-09-29,Wollongong,Partly Cloudy,11.3,95,44.5,0.0,31.6,8.1,6.4
101,2024-09-30,Sydney,Heavy Rain,16.4,49,23.2,28.9,50.0,9.4,5.3
102,2024-09-30,Melbourne,Cloudy,19.5,35,29.4,0.0,10.3,9.1,1.8
103,2024-09-30,Brisbane,Clear,18.7,75,21.4,0.0,29.8,3.2,5.4
104,2024-09-30,Perth,Fog,20.1,58,16.7,0.0,9.8,9.4,6.2
105,2024-09-30,Adelaide,Storm,22.9,80,9.1,0.0,44.8,9.3,7.3
106,2024-09-30,Gold Coast,Heavy Rain,14.2,78,19.2,0.0,16.9,6.5,1.2
107,2024-09-30,Newcastle,Cloudy,16.8,49,3.2,0.0,30.2,1.9,2.3
108,2024-09-30,Canberra,Cloudy,24.7,61,41.3,0.0,29.4,2.1,5.5
109,2024-09-30,Sunshine Coast,Fog,18.6,58,13.3,0.0,36.4,3.1,1.4
110,2024-09-30,Wollongong,Cloudy,16.5,80,24.0,37.6,25.0,6.2,4.8
111,2024-10-01,Sydney,Clear,19.3,41,15.0,0.0,42.3,6.3,7.8
112,2024-10-01,Melbourne,Cloudy,20.9,50,49.9,35.7,9.9,2.9,7.5
113,2024-10-01,Brisbane,Cloudy,23.4,53,49.1,0.0,16.5,6.0,1.8
114,2024-10-01,Perth,Fog,15.0,32,45.5,0.0,48.0,7.8,5.5
115,2024-10-01,Adelaide,Heavy Rain,13.9,42,21.4,0.0,44.3,7.3,3.5
116,2024-10-01,Gold Coast,Light Rain,21.8,81,42.3,0.0,38.3,9.1,9.4
117,2024-10-01,Newcastle,Heavy Rain,11.0,46,35.0,0.0,30.8,5.9,1.4
118,2024-10-01,Canberra,Storm,18.1,30,43.3,0.0,29.8,1.9,1.7
119,2024-10-01,Sunshine Coast,Heavy Rain,14.1,43,39.4,31.1,46.4,6.6,9.5
120,2024-10-01,Wollongong,Heavy Rain,18.2,61,34.9,0.0,36.3,5.9,3.8
121,2024-10-02,Sydney,Heavy Rain,17.6,69,34.4,16.4,31.5,9.8,8.2
122,2024-10-02,Melbourne,Clear,10.7,47,36.1,0.0,7.6,7.2,5.3
123,2024-10-02,Brisbane,Storm,15.4,78,44.5,0.0,10.1,5.3,4.8
124,2024-10-02,Perth,Partly Cloudy,20.9,80,10.4,0.0,23.5,7.4,2.1
125,2024-10-02,Adelaide,Cloudy,17.7,71,18.6,0.0,26.8,1.4,6.3
126,2024-10-02,Gold Coast,Cloudy,19.8,47,14.9,12.5,7.1,9.3,10.0
127,2024-10-02,Newcastle,Cloudy,20.2,85,21.6,0.0,19.7,4.9,2.5
128,2024-10-02,Canberra,Cloudy,22.3,70,21.2,0.0,39.0,4.1,9.0
129,2024-10-02,Sunshine Coast,Fog,18.6,69,38.4,9.6,27.8,6.5,4.8
130,2024-10-02,Wollongong,Fog,13.6,77,12.9,0.0,22.2,2.2,6.7
131,2024-10-03,Sydney,Cloudy,21.6,67,2.7,0.0,20.0,6.5,3.1
132,2024-10-03,Melbourne,Storm,10.8,84,8.0,0.0,12.9,3.6,9.7
133,2024-10-03,Brisbane,Light Rain,22.0,91,34.7,0.0,23.1,7.9,6.5
134,2024-10-03,Perth,Clear,15.9,40,8.8,5.0,21.8,9.8,5.5
135,2024-10-03,Adelaide,Heavy Rain,24.3,79,49.7,0.0,45.7,5.8,2.0
136,2024-10-03,Gold Coast,Light Rain,18.8,91,35.5,6.4,44.4,2.6,6.4
137,2024-10-03,Newcastle,Light Rain,24.1,31,46.5,0.0,11.1,7.5,8.1
138,2024-10-03,Canberra,Storm,22.8,84,3.8,46.0,7.4,5.8,3.1
139,2024-10-03,Sunshine Coast,Light Rain,21.4,73,11.4,0.0,31.5,4.5,7.8
140,2024-10-03,Wollongong,Heavy Rain,10.7,74,48.7,0.0,21.6,3.4,5.6
141,2024-10-04,Sydney,Clear,14.6,59,25.2,18.1,38.9,9.6,1.4
142,2024-10-04,Melbourne,Light Rain,20.1,62,15.3,0.0,34.3,4.0,2.3
143,2024-10-04,Brisbane,Clear,13.0,44,7.0,0.0,47.1,9.9,3.6
144,2024-10-04,Perth,Fog,18.1,92,34.1,0.0,41.7,1.8,4.9
145,2024-10-04,Adelaide,Fog,21.6,56,12.1,0.0,33.9,7.7,5.4
146,2024-10-04,Gold Coast,Fog,10.5,78,34.3,44.9,20.9,1.1,5.9
147,2024-10-04,Newcastle,Clear,22.0,79,48.1,12.7,37.2,2.7,4.5
148,2024-10-04,Canberra,Partly Cloudy,24.9,71,36.0,0.0,11.5,6.6,3.1
149,2024-10-04,Sunshine Coast,Cloudy,22.7,31,1.8,35.0,33.5,1.9,1.6
150,2024-10-04,Wollongong,Light Rain,23.1,90,25.3,0.0,8.0,4.8,9.9
151,2024-10-05,Sydney,Cloudy,14.2,76,13.1,0.0,42.2,2.9,5.8
152,2024-10-05,Melbourne,Clear,15.4,90,30.1,0.0,36.7,6.0,1.1
153,2024-10-05,Brisbane,Fog,20.3,71,12.0,0.0,11.6,5.1,5.5
154,2024-10-05,Perth,Fog,19.9,79,40.2,0.0,24.2,6.3,5.6
155,2024-10-05,Adelaide,Fog,12.3,37,15.3,24.1,36.6,8.5,1.9
156,2024-10-05,Gold Coast,Storm,22.6,47,12.7,0.0,41.5,8.8,9.9
157,2024-10-05,Newcastle,Light Rain,18.1,62,8.8,0.0,14.2,6.0,3.0
158,2024-10-05,Canberra,Heavy Rain,16.7,60,11.9,7.5,10.1,6.8,5.9
159,2024-10-05,Sunshine Coast,Fog,10.5,50,47.2,0.0,49.3,5.7,5.6
160,2024-10-05,Wollongong,Heavy Rain,10.7,57,8.4,0.0,41.7,1.1,3.1
161,2024-10-06,Sydney,Clear,23.3,38,34.6,0.0,24.5,2.0,9.2
162,2024-10-06,Melbourne,Storm,17.6,91,35.7,0.0,29.6,8.4,2.7
163,2024-10-06,Brisbane,Clear,15.8,66,3.1,44.9,18.0,3.9,3.2
164,2024-10-06,Perth,Heavy Rain,24.2,95,37.8,13.8,40.2,7.9,6.0
165,2024-10-06,Adelaide,Cloudy,12.1,69,20.4,15.8,35.4,1.9,1.0
166,2024-10-06,Gold Coast,Clear,21.0,88,41.8,0.0,13.2,4.3,8.3
167,2024-10-06,Newcastle,Storm,24.2,78,21.9,0.0,5.9,7.2,4.9
168,2024-10-06,Canberra,Storm,24.6,79,21.1,0.0,5.6,6.8,9.2
169,2024-10-06,Sunshine Coast,Clear,14.5,41,35.2,47.1,49.4,1.0,5.0
170,2024-10-06,Wollongong,Light Rain,14.9,64,38.6,0.0,28.5,1.1,8.0
171,2024-10-07,Sydney,Light Rain,21.4,83,27.4,0.0,11.3,5.8,6.1
172,2024-10-07,Melbourne,Partly Cloudy,19.3,79,30.3,26.4,29.3,6.0,5.7
173,2024-10-07,Brisbane,Clear,19.5,90,26.5,0.0,33.8,8.0,1.7
174,2024-10-07,Perth,Fog,10.5,84,9.0,0.0,8.5,5.1,4.4
175,2024-10-07,Adelaide,Partly Cloudy,20.4,46,1.1,0.0,24.4,7.3,9.9
176,2024-10-07,Gold Coast,Storm,16.8,53,19.0,0.0,8.5,8.7,7.8
177,2024-10-07,Newcastle,Heavy Rain,24.7,77,46.7,39.2,21.3,5.6,9.7
178,2024-10-07,Canberra,Light Rain,11.8,88,14.5,0.0,38.7,5.4,4.5
179,2024-10-07,Sunshine Coast,Clear,12.8,42,27.1,32.2,11.5,1.8,7.4
180,2024-10-07,Wollongong,Partly Cloudy,16.0,85,13.3,0.0,32.1,5.3,5.6
181,2024-10-08,Sydney,Clear,11.1,63,36.1,0.0,46.2,1.9,6.0
182,2024-10-08,Melbourne,Cloudy,20.2,92,41.7,0.0,24.6,5.6,1.0
183,2024-10-08,Brisbane,Partly Cloudy,18.7,76,24.8,0.0,30.9,9.4,1.4
184,2024-10-08,Perth,Partly Cloudy,19.5,73,20.5,23.0,14.5,2.2,8.6
185,2024-10-08,Adelaide,Partly Cloudy,17.1,94,8.1,0.0,19.8,7.5,8.1
186,2024-10-08,Gold Coast,Clear,10.1,92,26.0,40.8,13.2,7.2,7.5
187,2024-10-08,Newcastle,Partly Cloudy,13.6,83,3.6,27.1,46.9,8.0,1.1
188,2024-10-08,Canberra,Fog,11.0,74,47.1,0.0,38.9,1.5,2.0
189,2024-10-08,Sunshine Coast,Clear,15.6,52,42.2,5.5,41.7,1.8,2.7
190,2024-10-08,Wollongong,Clear,11.2,76,11.4,39.7,7.4,6.1,2.8
191,2024-10-09,Sydney,Clear,10.5,85,29.7,0.0,5.2,5.4,9.2
192,2024-10-09,Melbourne,Storm,22.4,41,43.9,0.0,19.1,7.4,7.3
193,2024-10-09,Brisbane,Storm,13.4,48,39.9,0.0,23.6,6.0,2.9
194,2024-10-09,Perth,Cloudy,22.9,46,29.8,0.0,26.2,2.0,8.5
195,2024-10-09,Adelaide,Heavy Rain,11.3,95,46.3,10.1,19.0,5.8,2.9
196,2024-10-09,Gold Coast,Fog,21.6,39,1.8,0.0,11.9,8.0,7.0
197,2024-10-09,Newcastle,Storm,16.0,53,3.4,10.7,44.7,8.1,4.2
198,2024-10-09,Canberra,Fog,13.8,60,16.9,21.0,7.7,8.8,9.8
199,2024-10-09,Sunshine Coast,Storm,16.5,84,22.4,0.0,14.9,7.5,3.3
200,2024-10-09,Wollongong,Heavy Rain,14.5,94,9.8,0.0,13.0,8.2,4.4
201,2024-10-10,Sydney,Storm,24.7,68,20.3,0.0,7.1,4.0,5.0
202,2024-10-10,Melbourne,Cloudy,16.7,36,19.7,0.0,20.1,1.7,9.6
203,2024-10-10,Brisbane,Heavy Rain,12.4,53,36.5,0.0,6.5,9.4,9.1
204,2024-10-10,Perth,Clear,14.9,93,31.4,0.0,6.2,9.9,1.9
205,2024-10-10,Adelaide,Clear,13.5,42,23.1,0.0,22.5,6.4,7.2
206,2024-10-10,Gold Coast,Fog,12.1,67,35.2,0.0,22.5,7.2,2.6
207,2024-10-10,Newcastle,Light Rain,19.5,77,46.0,0.0,46.4,3.4,9.5
208,2024-10-10,Canberra,Clear,20.2,40,33.3,0.0,45.6,8.1,9.1
209,2024-10-10,Sunshine Coast,Clear,15.4,31,7.9,0.0,41.6,9.3,1.7
210,2024-10-10,Wollongong,Partly Cloudy,11.7,53,45.3,0.0,40.9,7.2,6.3
211,2024-10-11,Sydney,Heavy Rain,16.6,73,1.6,0.0,48.0,5.4,7.9
212,2024-10-11,Melbourne,Fog,20.6,46,23.2,0.0,46.9,7.4,6.3
213,2024-10-11,Brisbane,Clear,15.5,59,33.3,2.4,49.2,3.6,7.1
214,2024-10-11,Perth,Cloudy,13.2,31,10.2,5.9,17.5,2.1,1.3
215,2024-10-11,Adelaide,Clear,13.2,94,30.6,14.2,8.2,3.7,6.5
216,2024-10-11,Gold Coast,Partly Cloudy,11.4,73,44.0,0.0,12.8,5.9,4.1
217,2024-10-11,Newcastle,Cloudy,21.3,73,7.3,0.0,8.2,1.5,9.7
218,2024-10-11,Canberra,Heavy Rain,18.5,31,32.2,0.0,24.3,9.2,8.4
219,2024-10-11,Sunshine Coast,Heavy Rain,10.9,79,35.9,0.0,7.0,7.3,3.2
220,2024-10-11,Wollongong,Cloudy,17.2,46,35.8,33.1,30.7,3.6,6.2
221,2024-10-12,Sydney,Cloudy,24.4,58,1.0,0.0,25.6,7.8,8.6
222,2024-10-12,Melbourne,Clear,15.0,57,8.0,0.0,5.5,5.4,9.9
223,2024-10-12,Brisbane,Partly Cloudy,14.7,80,9.2,0.0,29.2,2.7,1.6
224,2024-10-12,Perth,Heavy Rain,12.8,49,10.9,0.0,19.9,1.9,1.1
225,2024-10-12,Adelaide,Heavy Rain,21.8,35,32.2,41.9,7.1,3.2,6.7
226,2024-10-12,Gold Coast,Heavy Rain,24.4,82,25.5,0.0,11.8,9.1,1.8
227,2024-10-12,Newcastle,Partly Cloudy,15.9,47,30.8,0.0,45.3,4.0,9.8
228,2024-10-12,Canberra,Cloudy,23.7,87,16.2,0.0,13.4,2.5,7.6
229,2024-10-12,Sunshine Coast,Cloudy,21.6,51,19.8,0.0,42.9,4.8,8.2
230,2024-10-12,Wollongong,Clear,12.7,48,22.9,0.0,13.4,3.3,9.8
231,2024-10-13,Sydney,Storm,23.3,46,0.1,0.0,9.1,4.1,2.5
232,2024-10-13,Melbourne,Heavy Rain,20.7,30,9.0,0.0,48.1,1.9,8.2
233,2024-10-13,Brisbane,Partly Cloudy,20.9,38,17.6,39.3,28.5,9.2,7.5
234,2024-10-13,Perth,Heavy Rain,20.3,42,21.7,25.2,14.5,4.3,6.0
235,2024-10-13,Adelaide,Heavy Rain,11.2,70,28.4,0.0,48.8,2.5,7.2
236,2024-10-13,Gold Coast,Heavy Rain,15.7,35,35.4,38.7,46.3,5.3,7.9
237,2024-10-13,Newcastle,Fog,20.5,57,3.4,30.4,12.0,9.2,5.3
238,2024-10-13,Canberra,Heavy Rain,12.6,65,16.6,43.3,34.6,10.0,2.2
239,2024-10-13,Sunshine Coast,Light Rain,20.8,50,0.1,0.0,14.6,3.7,2.1
240,2024-10-13,Wollongong,Partly Cloudy,23.9,47,33.1,0.0,16.3,3.5,5.4
241,2024-10-14,Sydney,Partly Cloudy,14.2,46,46.2,37.4,8.0,9.8,9.6
242,2024-10-14,Melbourne,Storm,18.7,55,35.1,0.0,38.1,7.6,2.1
243,2024-10-14,Brisbane,Clear,19.5,65,46.9,0.0,14.9,2.2,7.5
244,2024-10-14,Perth,Fog,17.5,46,34.8,0.0,21.8,2.7,9.1
245,2024-10-14,Adelaide,Heavy Rain,21.4,41,20.9,20.4,22.8,1.0,9.9
246,2024-10-14,Gold Coast,Storm,10.9,59,46.7,0.0,25.7,4.6,6.3
247,2024-10-14,Newcastle,Partly Cloudy,19.2,46,38.4,0.0,34.3,9.9,1.8
248,2024-10-14,Canberra,Fog,20.2,39,23.5,0.0,32.4,8.7,2.4
249,2024-10-14,Sunshine Coast,Heavy Rain,21.2,57,6.0,13.2,42.9,7.7,8.4
250,2024-10-14,Wollongong,Light Rain,11.0,80,8.1,0.0,41.1,2.8,2.1
251,2024-10-15,Sydney,Heavy Rain,17.3,37,18.3,0.0,21.6,8.6,8.6
252,2024-10-15,Melbourne,Light Rain,23.6,35,19.2,46.5,8.8,5.6,4.5
253,2024-10-15,Brisbane,Cloudy,15.4,66,38.9,15.0,6.6,9.7,4.5
254,2024-10-15,Perth,Cloudy,12.9,54,35.9,0.0,20.5,3.7,6.4
255,2024-10-15,Adelaide,Partly Cloudy,12.5,46,42.3,0.0,24.5,8.5,1.8
256,2024-10-15,Gold Coast,Cloudy,24.5,57,39.3,0.0,46.4,7.6,9.5
257,2024-10-15,Newcastle,Cloudy,18.3,64,33.7,0.0,28.2,5.6,9.0
258,2024-10-15,Canberra,Storm,10.6,93,47.5,0.0,35.9,1.9,6.6
259,2024-10-15,Sunshine Coast,Storm,16.1,60,36.2,35.6,34.6,6.1,4.4
260,2024-10-15,Wollongong,Heavy Rain,13.3,73,40.2,36.0,48.3,3.5,5.1
261,2024-10-16,Sydney,Cloudy,24.4,37,18.2,0.0,16.0,9.5,9.5
262,2024-10-16,Melbourne,Storm,10.5,60,3.9,18.3,35.1,5.5,1.3
263,2024-10-16,Brisbane,Cloudy,24.7,77,43.2,19.5,36.0,7.1,5.5
264,2024-10-16,Perth,Light Rain,21.9,64,36.1,45.8,20.1,2.8,9.7
265,2024-10-16,Adelaide,Heavy Rain,16.5,90,49.6,0.0,22.4,7.6,8.0
266,2024-10-16,Gold Coast,Fog,15.7,38,21.5,6.3,13.0,3.6,1.2
267,2024-10-16,Newcastle,Clear,20.5,72,46.3,45.9,18.8,1.8,4.1
268,2024-10-16,Canberra,Heavy Rain,21.4,48,16.2,28.8,22.9,8.6,2.6
269,2024-10-16,Sunshine Coast,Partly Cloudy,22.8,31,22.7,6.8,21.6,7.5,9.9
270,2024-10-16,Wollongong,Light Rain,14.0,45,46.7,0.0,49.9,9.6,6.9
271,2024-10-17,Sydney,Partly Cloudy,18.8,50,47.0,15.0,19.3,3.8,7.5
272,2024-10-17,Melbourne,Heavy Rain,10.8,82,11.0,11.3,48.2,7.1,1.2
273,2024-10-17,Brisbane,Storm,18.0,45,24.8,0.0,21.0,2.5,9.4
274,2024-10-17,Perth,Storm,11.2,87,4.6,14.0,12.0,4.3,9.7
275,2024-10-17,Adelaide,Partly Cloudy,14.2,85,44.5,0.0,25.7,3.4,7.1
276,2024-10-17,Gold Coast,Light Rain,23.4,36,5.6,0.0,48.4,8.8,9.4
277,2024-10-17,Newcastle,Storm,20.2,82,39.8,41.0,15.0,5.0,5.1
278,2024-10-17,Canberra,Light Rain,18.7,71,20.3,0.0,5.2,3.5,1.6
279,2024-10-17,Sunshine Coast,Fog,22.4,75,40.8,46.6,7.8,9.3,4.3
280,2024-10-17,Wollongong,Storm,19.7,35,1.8,24.2,35.7,7.6,1.6
281,2024-10-18,Sydney,Light Rain,12.8,54,6.0,0.0,18.6,9.7,7.2
282,2024-10-18,Melbourne,Partly Cloudy,11.9,80,26.5,0.0,8.9,9.9,9.2
283,2024-10-18,Brisbane,Partly Cloudy,13.0,78,31.1,0.0,11.9,8.0,2.6
284,2024-10-18,Perth,Heavy Rain,20.8,53,28.8,0.0,26.8,3.2,2.2
285,2024-10-18,Adelaide,Heavy Rain,15.6,75,41.4,34.1,45.9,2.3,2.4
286,2024-10-18,Gold Coast,Fog,20.4,86,11.3,0.0,45.2,6.4,2.6
287,2024-10-18,Newcastle,Fog,14.3,90,34.6,39.1,15.0,4.2,2.2
288,2024-10-18,Canberra,Clear,16.3,94,17.5,0.0,22.9,9.2,6.0
289,2024-10-18,Sunshine Coast,Heavy Rain,16.9,53,19.5,0.0,48.2,7.9,8.3
290,2024-10-18,Wollongong,Partly Cloudy,22.4,78,1.9,0.0,10.6,4.6,4.2
291,2024-10-19,Sydney,Fog,22.7,58,44.6,0.0,30.2,9.7,7.4
292,2024-10-19,Melbourne,Light Rain,24.5,85,46.2,26.7,16.6,4.6,2.8
293,2024-10-19,Brisbane,Cloudy,16.6,46,7.3,48.2,49.2,9.8,2.3
294,2024-10-19,Perth,Storm,12.4,95,0.8,0.0,32.3,3.3,2.4
295,2024-10-19,Adelaide,Storm,18.4,49,35.9,0.0,35.8,8.7,2.6
296,2024-10-19,Gold Coast,Light Rain,24.4,37,18.9,30.9,49.7,2.9,6.9
