traffic_id,date,hour_of_day,city,traffic_level,congestion_delay_minutes,average_speed_kmh,incident_count,road_closure_count,weather_impact,is_peak_hours
61,2025-06-21,6,Sydney,Light,2.3,51.2,0,0,Moderate,0
62,2025-06-21,6,Melbourne,Moderate,3.6,40.9,0,1,None,0
63,2025-06-21,6,Brisbane,Light,3.7,53.2,1,1,None,0
64,2025-06-21,6,Perth,Light,0.2,22.2,2,1,Moderate,0
65,2025-06-21,6,Adelaide,Light,0.5,71.0,1,0,Moderate,0
66,2025-06-21,6,Gold Coast,Light,0.5,72.5,2,1,Light,0
67,2025-06-21,6,Newcastle,Light,4.4,62.0,3,0,Moderate,0
68,2025-06-21,6,Canberra,Moderate,2.2,36.3,0,0,Heavy,0
69,2025-06-21,6,Sunshine Coast,Light,4.6,23.5,1,0,None,0
70,2025-06-21,6,Wollongong,Light,2.9,26.5,3,0,None,0
71,2025-06-21,7,Sydney,Light,4.3,50.9,1,0,Moderate,0
72,2025-06-21,7,Melbourne,Light,0.2,44.4,2,0,Heavy,0
73,2025-06-21,7,Brisbane,Moderate,0.7,43.3,3,1,None,0
74,2025-06-21,7,Perth,Moderate,4.2,23.6,0,0,Light,0
75,2025-06-21,7,Adelaide,Light,1.1,61.8,0,1,Heavy,0
76,2025-06-21,7,Gold Coast,Light,1.9,78.9,3,1,Light,0
77,2025-06-21,7,Newcastle,Light,2.7,58.8,1,1,Moderate,0
78,2025-06-21,7,Canberra,Light,1.2,36.9,1,0,None,0
79,2025-06-21,7,Sunshine Coast,Light,1.3,56.2,0,1,Light,0
80,2025-06-21,7,Wollongong,Light,5.0,63.8,0,1,Moderate,0
81,2025-06-21,8,Sydney,Light,3.8,75.2,2,0,None,0
82,2025-06-21,8,Melbourne,Light,1.2,29.1,3,1,Light,0
83,2025-06-21,8,Brisbane,Light,3.5,49.4,3,1,None,0
84,2025-06-21,8,Perth,Moderate,4.2,42.4,0,1,Heavy,0
85,2025-06-21,8,Adelaide,Moderate,2.9,64.9,0,1,Moderate,0
86,2025-06-21,8,Gold Coast,Light,2.8,55.6,2,0,Heavy,0
87,2025-06-21,8,Newcastle,Light,3.1,28.4,0,1,Light,0
88,2025-06-21,8,Canberra,Light,1.5,35.9,3,0,None,0
89,2025-06-21,8,Sunshine Coast,Light,0.1,29.3,0,1,Light,0
90,2025-06-21,8,Wollongong,Light,3.9,59.2,1,1,Light,0
91,2025-06-21,9,Sydney,Light,3.1,70.5,0,0,None,0
92,2025-06-21,9,Melbourne,Light,4.8,71.8,1,1,Light,0
93,2025-06-21,9,Brisbane,Light,0.3,28.3,0,0,None,0
94,2025-06-21,9,Perth,Light,0.6,24.0,3,1,Moderate,0
95,2025-06-21,9,Adelaide,Light,1.4,47.9,3,0,Moderate,0
96,2025-06-21,9,Gold Coast,Light,4.5,28.3,1,1,Heavy,0
97,2025-06-21,9,Newcastle,Light,3.3,45.6,2,1,Heavy,0
98,2025-06-21,9,Canberra,Light,3.3,56.8,3,0,Moderate,0
99,2025-06-21,9,Sunshine Coast,Light,3.0,58.9,2,0,None,0
100,2025-06-21,9,Wollongong,Light,0.1,46.9,3,1,Heavy,0
101,2025-06-21,10,Sydney,Light,3.5,62.4,1,0,Heavy,0
102,2025-06-21,10,Melbourne,Light,4.7,46.6,0,1,Heavy,0
103,2025-06-21,10,Brisbane,Light,3.3,66.9,1,0,None,0
104,2025-06-21,10,Perth,Light,0.7,70.6,3,0,Moderate,0
105,2025-06-21,10,Adelaide,Light,4.8,42.2,1,0,Light,0
106,2025-06-21,10,Gold Coast,Light,2.8,68.5,1,0,None,0
107,2025-06-21,10,Newcastle,Light,4.9,24.5,3,1,Moderate,0
108,2025-06-21,10,Canberra,Light,4.6,44.8,3,0,Heavy,0
109,2025-06-21,10,Sunshine Coast,Light,3.0,51.6,2,0,None,0
110,2025-06-21,10,Wollongong,Light,2.5,74.2,1,0,None,0
111,2025-06-21,11,Sydney,Moderate,2.5,39.3,2,1,None,0
112,2025-06-21,11,Melbourne,Light,1.5,32.6,1,1,Moderate,0
113,2025-06-21,11,Brisbane,Light,2.7,78.8,3,0,Heavy,0
114,2025-06-21,11,Perth,Light,1.4,58.8,3,1,None,0
115,2025-06-21,11,Adelaide,Light,0.1,58.8,3,0,None,0
116,2025-06-21,11,Gold Coast,Moderate,4.1,49.9,2,1,Moderate,0
117,2025-06-21,11,Newcastle,Light,0.8,49.2,2,1,Light,0
118,2025-06-21,11,Canberra,Light,4.7,46.5,1,1,Heavy,0
119,2025-06-21,11,Sunshine Coast,Light,0.3,38.6,3,1,None,0
120,2025-06-21,11,Wollongong,Light,2.6,44.4,1,1,Heavy,0
121,2025-06-21,12,Sydney,Light,1.5,46.7,2,1,Heavy,0
122,2025-06-21,12,Melbourne,Moderate,3.7,42.5,1,1,Light,0
123,2025-06-21,12,Brisbane,Light,1.2,58.0,0,0,Moderate,0
124,2025-06-21,12,Perth,Light,1.6,37.1,1,1,Moderate,0
125,2025-06-21,12,Adelaide,Light,4.4,41.1,3,1,None,0
126,2025-06-21,12,Gold Coast,Light,3.0,63.2,3,1,None,0
127,2025-06-21,12,Newcastle,Moderate,3.2,42.4,1,0,None,0
128,2025-06-21,12,Canberra,Light,1.0,66.6,2,0,Light,0
129,2025-06-21,12,Sunshine Coast,Light,4.8,55.3,0,0,Moderate,0
130,2025-06-21,12,Wollongong,Light,3.5,35.5,2,1,Moderate,0
131,2025-06-21,13,Sydney,Light,4.6,29.8,0,1,Heavy,0
132,2025-06-21,13,Melbourne,Light,2.7,45.9,1,1,Moderate,0
133,2025-06-21,13,Brisbane,Moderate,3.8,64.9,1,1,Moderate,0
134,2025-06-21,13,Perth,Light,3.7,66.9,0,0,Light,0
135,2025-06-21,13,Adelaide,Light,0.4,45.1,3,0,Heavy,0
136,2025-06-21,13,Gold Coast,Light,1.7,62.8,0,1,Heavy,0
137,2025-06-21,13,Newcastle,Light,3.1,47.1,1,1,Light,0
138,2025-06-21,13,Canberra,Light,0.3,34.3,1,0,Moderate,0
139,2025-06-21,13,Sunshine Coast,Light,4.2,57.3,1,0,Moderate,0
140,2025-06-21,13,Wollongong,Light,2.1,40.8,3,1,None,0
141,2025-06-21,14,Sydney,Light,3.8,40.1,2,1,Moderate,0
142,2025-06-21,14,Melbourne,Light,2.0,54.8,2,0,None,0
143,2025-06-21,14,Brisbane,Moderate,0.1,22.0,1,0,Heavy,0
144,2025-06-21,14,Perth,Light,3.7,37.8,3,0,Light,0
145,2025-06-21,14,Adelaide,Moderate,0.5,41.8,3,1,None,0
146,2025-06-21,14,Gold Coast,Light,2.4,67.6,3,0,Moderate,0
147,2025-06-21,14,Newcastle,Light,1.8,24.8,2,0,Moderate,0
148,2025-06-21,14,Canberra,Moderate,0.9,49.7,0,1,Light,0
149,2025-06-21,14,Sunshine Coast,Light,3.4,75.9,3,0,Light,0
150,2025-06-21,14,Wollongong,Light,2.3,57.1,2,0,Heavy,0
151,2025-06-21,15,Sydney,Light,1.5,52.4,3,0,None,0
152,2025-06-21,15,Melbourne,Light,2.0,73.2,3,1,Light,0
153,2025-06-21,15,Brisbane,Moderate,3.8,51.0,0,0,None,0
154,2025-06-21,15,Perth,Moderate,0.2,41.0,1,0,Light,0
155,2025-06-21,15,Adelaide,Light,4.8,28.9,3,1,Moderate,0
156,2025-06-21,15,Gold Coast,Light,1.4,51.5,0,1,Light,0
157,2025-06-21,15,Newcastle,Light,1.3,53.0,3,1,Heavy,0
158,2025-06-21,15,Canberra,Light,4.2,75.6,1,1,None,0
159,2025-06-21,15,Sunshine Coast,Light,3.7,39.5,2,0,Heavy,0
160,2025-06-21,15,Wollongong,Light,1.0,55.3,3,0,Light,0
161,2025-06-21,16,Sydney,Light,4.4,60.2,0,1,None,0
162,2025-06-21,16,Melbourne,Light,3.3,24.4,1,1,Moderate,0
163,2025-06-21,16,Brisbane,Light,0.4,64.9,2,0,Heavy,0
164,2025-06-21,16,Perth,Light,0.2,57.1,3,1,None,0
165,2025-06-21,16,Adelaide,Light,1.0,44.8,1,0,Heavy,0
166,2025-06-21,16,Gold Coast,Moderate,4.9,36.5,2,1,Heavy,0
167,2025-06-21,16,Newcastle,Light,2.7,73.8,2,0,None,0
168,2025-06-21,16,Canberra,Light,0.2,44.3,3,0,Light,0
169,2025-06-21,16,Sunshine Coast,Moderate,3.4,49.1,0,0,None,0
170,2025-06-21,16,Wollongong,Moderate,2.5,26.8,2,0,Heavy,0
171,2025-06-21,17,Sydney,Light,4.8,24.6,2,0,Light,0
172,2025-06-21,17,Melbourne,Light,4.2,28.5,2,0,Moderate,0
173,2025-06-21,17,Brisbane,Light,2.2,67.4,3,1,None,0
174,2025-06-21,17,Perth,Light,1.9,49.1,1,1,Moderate,0
175,2025-06-21,17,Adelaide,Moderate,4.5,51.2,1,1,Heavy,0
176,2025-06-21,17,Gold Coast,Light,2.9,33.0,2,0,Light,0
177,2025-06-21,17,Newcastle,Light,4.0,48.3,1,1,None,0
178,2025-06-21,17,Canberra,Light,3.2,31.0,3,1,Heavy,0
179,2025-06-21,17,Sunshine Coast,Light,2.6,52.5,0,1,Moderate,0
180,2025-06-21,17,Wollongong,Light,1.2,21.5,1,0,Heavy,0
181,2025-06-21,18,Sydney,Moderate,0.1,32.1,3,0,Moderate,0
182,2025-06-21,18,Melbourne,Light,0.0,29.3,0,0,Light,0
183,2025-06-21,18,Brisbane,Light,0.4,28.5,0,0,Heavy,0
184,2025-06-21,18,Perth,Light,4.1,49.9,1,0,Light,0
185,2025-06-21,18,Adelaide,Light,4.9,62.2,2,1,Moderate,0
186,2025-06-21,18,Gold Coast,Light,4.1,64.5,1,0,Light,0
187,2025-06-21,18,Newcastle,Moderate,3.7,72.3,1,0,Moderate,0
188,2025-06-21,18,Canberra,Light,2.4,67.9,0,1,None,0
189,2025-06-21,18,Sunshine Coast,Light,3.3,75.2,0,0,None,0
190,2025-06-21,18,Wollongong,Light,3.1,33.9,1,1,Light,0
191,2025-06-21,19,Sydney,Moderate,3.9,39.8,1,0,Heavy,0
192,2025-06-21,19,Melbourne,Light,1.3,43.4,1,0,Heavy,0
193,2025-06-21,19,Brisbane,Light,4.5,26.1,2,1,Light,0
194,2025-06-21,19,Perth,Light,0.3,25.8,1,0,Heavy,0
195,2025-06-21,19,Adelaide,Light,0.5,62.3,3,1,None,0
196,2025-06-21,19,Gold Coast,Light,2.7,30.4,2,1,None,0
197,2025-06-21,19,Newcastle,Light,2.9,45.6,0,1,Heavy,0
198,2025-06-21,19,Canberra,Light,0.7,54.5,3,1,Heavy,0
199,2025-06-21,19,Sunshine Coast,Light,3.4,50.7,1,0,None,0
200,2025-06-21,19,Wollongong,Light,1.0,54.4,0,1,Heavy,0
201,2025-06-21,20,Sydney,Light,1.8,23.3,3,0,Heavy,0
202,2025-06-21,20,Melbourne,Light,3.3,50.5,0,1,Heavy,0
203,2025-06-21,20,Brisbane,Moderate,4.4,58.9,2,1,None,0
204,2025-06-21,20,Perth,Moderate,3.0,79.9,3,1,Heavy,0
205,2025-06-21,20,Adelaide,Light,0.9,31.8,2,1,Moderate,0
206,2025-06-21,20,Gold Coast,Light,4.2,34.1,0,1,Light,0
207,2025-06-21,20,Newcastle,Moderate,1.3,29.3,0,1,Light,0
208,2025-06-21,20,Canberra,Light,0.6,48.1,2,1,Light,0
209,2025-06-21,20,Sunshine Coast,Light,0.5,31.2,2,0,None,0
210,2025-06-21,20,Wollongong,Moderate,4.0,70.5,1,0,None,0
211,2025-06-21,21,Sydney,Moderate,1.3,32.2,3,1,None,0
212,2025-06-21,21,Melbourne,Light,0.9,75.7,1,1,None,0
213,2025-06-21,21,Brisbane,Light,1.0,30.1,0,0,Moderate,0
214,2025-06-21,21,Perth,Light,3.7,39.4,1,1,Heavy,0
215,2025-06-21,21,Adelaide,Light,4.9,62.5,1,0,Heavy,0
216,2025-06-21,21,Gold Coast,Moderate,3.0,77.8,0,1,Light,0
217,2025-06-21,21,Newcastle,Moderate,1.0,40.9,3,0,Moderate,0
218,2025-06-21,21,Canberra,Moderate,4.3,32.7,1,1,Moderate,0
219,2025-06-21,21,Sunshine Coast,Light,4.0,52.7,1,0,None,0
220,2025-06-21,21,Wollongong,Light,2.7,54.2,2,1,None,0
221,2025-06-21,22,Sydney,Light,2.6,38.2,3,0,Heavy,0
222,2025-06-21,22,Melbourne,Light,3.4,26.0,0,1,Light,0
223,2025-06-21,22,Brisbane,Light,1.5,56.3,0,1,Moderate,0
224,2025-06-21,22,Perth,Light,2.1,26.0,1,1,None,0
225,2025-06-21,22,Adelaide,Light,2.1,61.5,3,0,Heavy,0
226,2025-06-21,22,Gold Coast,Light,4.1,39.1,1,0,Heavy,0
227,2025-06-21,22,Newcastle,Light,2.4,60.1,1,1,Heavy,0
228,2025-06-21,22,Canberra,Light,2.5,35.6,0,1,Moderate,0
229,2025-06-21,22,Sunshine Coast,Moderate,4.0,30.4,3,1,None,0
230,2025-06-21,22,Wollongong,Light,1.9,66.2,1,1,Heavy,0
231,2025-06-21,23,Sydney,Moderate,4.3,36.4,3,0,Light,0
232,2025-06-21,23,Melbourne,Light,3.8,26.3,3,1,Heavy,0
233,2025-06-21,23,Brisbane,Light,3.4,53.5,2,1,Moderate,0
234,2025-06-21,23,Perth,Light,3.9,27.0,1,1,Moderate,0
235,2025-06-21,23,Adelaide,Light,0.6,78.5,2,0,Moderate,0
236,2025-06-21,23,Gold Coast,Light,0.5,26.7,1,1,None,0
237,2025-06-21,23,Newcastle,Light,4.4,27.5,3,1,Moderate,0
238,2025-06-21,23,Canberra,Light,2.2,69.1,0,1,None,0
239,2025-06-21,23,Sunshine Coast,Light,1.8,59.6,0,1,Heavy,0
240,2025-06-21,23,Wollongong,Light,3.4,23.4,2,1,Light,0
241,2025-06-22,0,Sydney,Light,2.6,31.4,1,0,Heavy,0
242,2025-06-22,0,Melbourne,Light,1.1,69.4,2,0,Moderate,0
243,2025-06-22,0,Brisbane,Light,3.4,41.9,0,1,Heavy,0
244,2025-06-22,0,Perth,Light,2.6,50.7,3,0,Light,0
245,2025-06-22,0,Adelaide,Light,3.2,79.3,1,1,Heavy,0
246,2025-06-22,0,Gold Coast,Light,2.0,50.2,0,0,Heavy,0
247,2025-06-22,0,Newcastle,Moderate,4.8,46.2,1,1,Moderate,0
248,2025-06-22,0,Canberra,Light,1.0,36.2,2,0,Heavy,0
249,2025-06-22,0,Sunshine Coast,Light,2.6,40.2,1,1,Heavy,0
250,2025-06-22,0,Wollongong,Light,4.0,56.4,3,0,Moderate,0
251,2025-06-22,1,Sydney,Light,3.1,27.3,1,1,Light,0
252,2025-06-22,1,Melbourne,Light,4.5,62.3,2,0,None,0
253,2025-06-22,1,Brisbane,Light,1.6,72.4,0,1,Heavy,0
254,2025-06-22,1,Perth,Moderate,0.7,74.6,2,1,Moderate,0
255,2025-06-22,1,Adelaide,Light,0.1,66.7,1,1,Heavy,0
256,2025-06-22,1,Gold Coast,Moderate,4.0,32.1,2,1,Heavy,0
257,2025-06-22,1,Newcastle,Light,4.1,68.9,0,1,Heavy,0
258,2025-06-22,1,Canberra,Light,3.0,39.2,0,0,Heavy,0
259,2025-06-22,1,Sunshine Coast,Light,1.8,69.0,0,1,None,0
260,2025-06-22,1,Wollongong,Light,4.1,78.0,2,1,None,0
261,2025-06-22,2,Sydney,Light,0.2,27.1,0,1,None,0
262,2025-06-22,2,Melbourne,Light,2.8,28.3,1,1,None,0
263,2025-06-22,2,Brisbane,Light,1.1,21.7,1,1,None,0
264,2025-06-22,2,Perth,Light,3.7,38.2,2,1,Light,0
265,2025-06-22,2,Adelaide,Light,0.3,40.8,2,1,Light,0
266,2025-06-22,2,Gold Coast,Light,2.5,61.7,0,1,Heavy,0
267,2025-06-22,2,Newcastle,Light,3.5,37.6,3,1,Moderate,0
268,2025-06-22,2,Canberra,Light,1.9,31.7,1,1,Heavy,0
269,2025-06-22,2,Sunshine Coast,Light,2.9,22.5,2,0,None,0
270,2025-06-22,2,Wollongong,Light,1.5,32.5,0,1,None,0
271,2025-06-22,3,Sydney,Light,3.9,35.3,2,0,Light,0
272,2025-06-22,3,Melbourne,Light,3.7,34.6,2,0,Heavy,0
273,2025-06-22,3,Brisbane,Light,3.7,57.5,1,0,Moderate,0
274,2025-06-22,3,Perth,Light,3.3,76.1,0,1,None,0
275,2025-06-22,3,Adelaide,Light,4.1,69.9,0,0,None,0
276,2025-06-22,3,Gold Coast,Moderate,3.4,73.1,1,0,Light,0
277,2025-06-22,3,Newcastle,Light,4.6,47.7,0,0,None,0
278,2025-06-22,3,Canberra,Light,4.7,23.6,1,0,Heavy,0
279,2025-06-22,3,Sunshine Coast,Moderate,3.4,74.6,1,1,Heavy,0
280,2025-06-22,3,Wollongong,Light,1.6,66.9,3,1,Moderate,0
281,2025-06-22,4,Sydney,Light,4.5,56.3,1,1,Moderate,0
282,2025-06-22,4,Melbourne,Moderate,2.3,31.1,3,0,Heavy,0
283,2025-06-22,4,Brisbane,Light,4.0,59.8,1,1,Light,0
284,2025-06-22,4,Perth,Light,0.4,58.0,0,1,Moderate,0
285,2025-06-22,4,Adelaide,Light,0.2,58.6,1,1,Heavy,0
286,2025-06-22,4,Gold Coast,Light,4.5,56.9,2,0,None,0
287,2025-06-22,4,Newcastle,Light,4.3,48.8,1,0,Light,0
288,2025-06-22,4,Canberra,Light,4.9,39.2,1,1,None,0
289,2025-06-22,4,Sunshine Coast,Moderate,3.5,54.6,3,0,Light,0
290,2025-06-22,4,Wollongong,Moderate,1.8,40.7,2,0,None,0
291,2025-06-22,5,Sydney,Light,3.4,26.7,2,1,Moderate,0
292,2025-06-22,5,Melbourne,Light,2.8,38.6,1,0,Heavy,0
293,2025-06-22,5,Brisbane,Light,1.8,67.9,3,0,Light,0
294,2025-06-22,5,Perth,Light,0.9,63.4,3,1,Moderate,0
295,2025-06-22,5,Adelaide,Light,0.3,40.7,2,0,None,0
296,2025-06-22,5,Gold Coast,Light,4.9,30.6,2,0,None,0
297,2025-06-22,5,Newcastle,Light,2.4,50.5,0,0,Light,0
298,2025-06-22,5,Canberra,Moderate,4.4,47.2,2,1,Moderate,0
299,2025-06-22,5,Sunshine Coast,Moderate,4.4,26.9,3,0,Heavy,0
300,2025-06-22,5,Wollongong,Light,0.3,65.8,3,0,Light,0
301,2025-06-22,6,Sydney,Light,4.0,29.5,0,1,Heavy,0
302,2025-06-22,6,Melbourne,Light,4.2,57.4,1,0,Light,0
303,2025-06-22,6,Brisbane,Light,2.1,25.9,1,0,Moderate,0
304,2025-06-22,6,Perth,Light,4.5,40.9,1,1,Heavy,0
305,2025-06-22,6,Adelaide,Moderate,2.0,23.8,1,1,None,0
306,2025-06-22,6,Gold Coast,Light,3.7,38.2,2,0,Moderate,0
307,2025-06-22,6,Newcastle,Light,4.6,65.7,3,0,Heavy,0
308,2025-06-22,6,Canberra,Light,4.5,78.7,1,1,Heavy,0
309,2025-06-22,6,Sunshine Coast,Moderate,3.8,41.2,3,1,Heavy,0
310,2025-06-22,6,Wollongong,Light,2.9,73.9,2,1,Heavy,0
311,2025-06-22,7,Sydney,Light,1.6,53.6,2,0,Heavy,0
312,2025-06-22,7,Melbourne,Light,3.6,54.9,2,1,None,0
313,2025-06-22,7,Brisbane,Light,2.9,20.3,1,1,Heavy,0
314,2025-06-22,7,Perth,Light,0.0,72.4,3,1,Heavy,0
315,2025-06-22,7,Adelaide,Moderate,2.5,41.4,0,1,Heavy,0
316,2025-06-22,7,Gold Coast,Light,0.0,77.1,3,0,Light,0
317,2025-06-22,7,Newcastle,Light,0.2,37.7,3,0,Heavy,0
318,2025-06-22,7,Canberra,Light,4.3,57.8,1,0,Light,0
319,2025-06-22,7,Sunshine Coast,Light,0.9,31.1,1,0,Light,0
320,2025-06-22,7,Wollongong,Light,3.4,36.9,3,0,Heavy,0
321,2025-06-22,8,Sydney,Light,1.6,63.1,2,1,Moderate,0
322,2025-06-22,8,Melbourne,Light,2.4,25.5,0,0,Moderate,0
323,2025-06-22,8,Brisbane,Light,3.8,53.6,1,1,Light,0
324,2025-06-22,8,Perth,Moderate,4.9,33.6,2,0,Heavy,0
325,2025-06-22,8,Adelaide,Light,1.1,40.9,2,0,Light,0
326,2025-06-22,8,Gold Coast,Light,2.4,60.8,0,0,None,0
327,2025-06-22,8,Newcastle,Light,0.2,52.9,3,1,Heavy,0
328,2025-06-22,8,Canberra,Light,0.3,24.8,3,0,Light,0
329,2025-06-22,8,Sunshine Coast,Light,0.1,52.6,0,0,Moderate,0
330,2025-06-22,8,Wollongong,Light,1.4,79.7,2,1,None,0
331,2025-06-22,9,Sydney,Light,2.3,58.9,2,0,None,0
332,2025-06-22,9,Melbourne,Moderate,1.8,49.4,1,1,Moderate,0
333,2025-06-22,9,Brisbane,Light,3.7,30.1,0,1,Light,0
334,2025-06-22,9,Perth,Light,2.5,37.7,0,0,Heavy,0
335,2025-06-22,9,Adelaide,Light,2.9,70.0,3,0,Moderate,0
336,2025-06-22,9,Gold Coast,Light,3.5,38.6,2,0,None,0
337,2025-06-22,9,Newcastle,Light,2.3,70.1,3,0,Heavy,0
338,2025-06-22,9,Canberra,Moderate,2.9,42.7,0,1,None,0
339,2025-06-22,9,Sunshine Coast,Moderate,2.1,36.5,1,1,None,0
340,2025-06-22,9,Wollongong,Light,2.7,67.3,1,1,Moderate,0
341,2025-06-22,10,Sydney,Moderate,3.9,55.3,2,0,Heavy,0
342,2025-06-22,10,Melbourne,Light,0.3,44.6,1,0,Heavy,0
343,2025-06-22,10,Brisbane,Light,3.3,69.2,3,1,None,0
344,2025-06-22,10,Perth,Light,0.1,51.4,1,1,Heavy,0
345,2025-06-22,10,Adelaide,Light,0.1,62.7,2,0,Light,0
346,2025-06-22,10,Gold Coast,Light,3.1,72.1,2,1,None,0
347,2025-06-22,10,Newcastle,Light,3.9,32.3,2,1,Light,0
348,2025-06-22,10,Canberra,Light,4.6,59.6,1,0,Heavy,0
349,2025-06-22,10,Sunshine Coast,Light,4.3,61.7,2,0,Light,0
350,2025-06-22,10,Wollongong,Light,3.7,73.4,3,0,None,0
351,2025-06-22,11,Sydney,Light,0.4,67.0,0,0,Light,0
352,2025-06-22,11,Melbourne,Light,2.4,39.5,1,0,Light,0
353,2025-06-22,11,Brisbane,Light,1.2,36.5,3,0,Heavy,0
354,2025-06-22,11,Perth,Moderate,3.8,28.7,3,1,Light,0
355,2025-06-22,11,Adelaide,Light,2.5,65.6,0,0,Light,0
356,2025-06-22,11,Gold Coast,Light,0.9,64.2,1,0,None,0
357,2025-06-22,11,Newcastle,Light,2.6,59.5,1,1,None,0
358,2025-06-22,11,Canberra,Light,2.6,72.6,0,1,Moderate,0
359,2025-06-22,11,Sunshine Coast,Light,2.4,68.2,0,1,Light,0
360,2025-06-22,11,Wollongong,Light,1.7,57.3,0,0,Light,0
361,2025-06-22,12,Sydney,Light,0.8,36.5,0,1,None,0
362,2025-06-22,12,Melbourne,Light,2.7,66.9,1,0,Light,0
363,2025-06-22,12,Brisbane,Light,3.4,32.6,0,0,None,0
