utilization_id,vehicle_id,date,total_shipments,total_weight_kg,total_volume_m3,total_distance_km,total_revenue,total_cost,capacity_utilization_pct,volume_utilization_pct,distance_utilization_km,revenue_per_km,cost_per_km,profit_per_km,utilization_score,efficiency_rating,maintenance_required
25,VH0119,2025-06-21,1,18123.3,3.39,137.9,779.1,119.7,47.2,0.9,137.9,5.65,0.87,4.78,24.1,Good,False
26,VH0124,2025-06-21,1,13578.6,2.22,92.8,110.39,282.49,63.8,1.0,92.8,1.19,3.04,-1.85,32.4,Good,False
27,VH0125,2025-06-21,1,417.1,3.28,82.5,160.35,110.65,30.1,23.6,82.5,1.94,1.34,0.6,26.8,Average,False
28,VH0127,2025-06-21,1,7762.3,10.76,228.2,530.37,248.43,61.3,8.5,228.2,2.32,1.09,1.24,34.9,Poor,False
29,VH0131,2025-06-21,1,1552.3,1.44,118.6,212.11,136.67,20.1,1.9,118.6,1.79,1.15,0.64,11.0,Excellent,False
30,VH0132,2025-06-21,1,19040.7,11.35,180.4,794.15,180.01,58.4,3.5,180.4,4.4,1.0,3.4,30.9,Excellent,False
31,VH0133,2025-06-21,1,15698.8,16.45,85.1,210.42,113.65,46.0,4.8,85.1,2.47,1.34,1.14,25.4,Poor,False
32,VH0134,2025-06-21,1,10426.5,11.55,240.4,555.88,270.66,26.3,2.9,240.4,2.31,1.13,1.19,14.6,Excellent,False
33,VH0136,2025-06-21,1,375.1,2.9,163.3,113.55,247.22,17.0,13.2,163.3,0.7,1.51,-0.82,15.1,Average,False
34,VH0143,2025-06-21,1,1521.3,7.37,216.5,452.85,273.53,9.7,4.7,216.5,2.09,1.26,0.83,7.2,Excellent,False
35,VH0146,2025-06-21,1,1474.4,5.63,111.3,304.55,201.14,55.4,21.2,111.3,2.74,1.81,0.93,38.3,Excellent,False
36,VH0149,2025-06-21,1,7009.8,3.5,156.4,159.21,267.7,56.9,2.8,156.4,1.02,1.71,-0.69,29.9,Excellent,False
37,VH0167,2025-06-21,1,7276.2,7.11,117.9,783.26,223.69,63.1,6.2,117.9,6.64,1.9,4.75,34.6,Average,False
38,VH0172,2025-06-21,1,963.4,5.42,66.5,636.39,138.52,53.8,30.3,66.5,9.57,2.08,7.49,42.1,Average,False
39,VH0175,2025-06-21,2,15642.1,14.14,348.3,870.37,380.77,111.0,10.0,348.3,2.5,1.09,1.41,60.5,Excellent,False
40,VH0176,2025-06-21,1,7269.5,19.66,120.5,479.02,170.37,70.1,19.0,120.5,3.98,1.41,2.56,44.5,Excellent,False
41,VH0179,2025-06-21,2,13499.6,33.89,366.6,613.55,467.92,48.2,12.1,366.6,1.67,1.28,0.4,30.2,Good,False
42,VH0184,2025-06-21,1,16140.3,10.47,189.9,437.66,195.03,75.6,4.9,189.9,2.3,1.03,1.28,40.2,Good,False
43,VH0186,2025-06-21,1,6293.4,17.2,199.3,178.13,170.4,70.5,19.3,199.3,0.89,0.85,0.04,44.9,Good,False
44,VH0192,2025-06-21,1,2108.1,11.31,60.9,342.94,161.17,43.3,23.2,60.9,5.63,2.65,2.98,33.3,Poor,False
45,VH0193,2025-06-21,3,5774.6,38.82,335.9,1422.93,687.57,188.9,127.0,335.9,4.24,2.05,2.19,157.9,Average,False
46,VH0197,2025-06-21,2,30882.9,6.6,250.7,770.9,452.0,136.6,2.9,250.7,3.07,1.8,1.27,69.8,Poor,False
47,VH0028,2025-06-22,1,11015.5,19.36,97.7,563.08,128.13,56.5,9.9,97.7,5.76,1.31,4.45,33.2,Poor,False
48,VH0029,2025-06-22,1,1205.0,16.29,103.7,432.77,112.01,14.5,19.6,103.7,4.17,1.08,3.09,17.0,Average,False
49,VH0032,2025-06-22,1,4845.5,0.71,149.1,310.47,330.57,68.2,1.0,149.1,2.08,2.22,-0.13,34.6,Excellent,False
50,VH0045,2025-06-22,1,8314.5,19.16,163.3,119.56,252.19,79.9,18.4,163.3,0.73,1.54,-0.81,49.2,Poor,False
51,VH0046,2025-06-22,1,11712.0,5.95,147.1,257.17,154.56,69.6,3.5,147.1,1.75,1.05,0.7,36.6,Average,False
52,VH0050,2025-06-22,1,4429.3,1.74,162.0,155.35,175.27,33.1,1.3,162.0,0.96,1.08,-0.12,17.2,Good,False
53,VH0072,2025-06-22,1,27830.2,3.5,152.4,672.02,146.32,71.3,0.9,152.4,4.41,0.96,3.45,36.1,Average,False
54,VH0089,2025-06-22,1,13585.9,15.31,214.4,277.64,189.2,58.2,6.6,214.4,1.29,0.88,0.41,32.4,Poor,False
55,VH0123,2025-06-22,1,324.1,16.97,81.4,264.94,231.37,2.5,13.0,81.4,3.25,2.84,0.41,7.7,Average,False
56,VH0124,2025-06-22,1,15718.5,1.7,152.4,659.79,121.16,73.9,0.8,152.4,4.33,0.8,3.53,37.3,Poor,False
57,VH0133,2025-06-22,1,22044.1,9.05,117.0,669.32,138.3,64.5,2.6,117.0,5.72,1.18,4.54,33.6,Excellent,False
58,VH0136,2025-06-22,1,511.3,5.99,101.9,660.71,324.95,23.2,27.2,101.9,6.48,3.19,3.29,25.2,Excellent,False
59,VH0139,2025-06-22,1,4721.9,5.59,166.7,617.4,334.98,75.1,8.9,166.7,3.7,2.01,1.69,42.0,Good,False
60,VH0146,2025-06-22,1,1285.9,14.96,97.7,148.04,164.89,48.3,56.2,97.7,1.52,1.69,-0.17,52.3,Average,True
61,VH0150,2025-06-22,1,1151.5,10.34,97.7,209.26,302.44,9.3,8.4,97.7,2.14,3.1,-0.95,8.8,Excellent,False
62,VH0159,2025-06-22,1,1790.7,7.46,207.6,471.4,211.91,50.4,21.0,207.6,2.27,1.02,1.25,35.7,Poor,False
63,VH0170,2025-06-22,2,21162.4,28.55,292.8,522.99,426.78,105.7,14.3,292.8,1.79,1.46,0.33,60.0,Good,False
64,VH0179,2025-06-22,1,8487.9,11.55,267.4,101.18,204.55,30.3,4.1,267.4,0.38,0.76,-0.39,17.2,Excellent,False
65,VH0181,2025-06-22,1,35.1,9.73,207.9,542.64,330.35,1.6,43.6,207.9,2.61,1.59,1.02,22.6,Poor,False
66,VH0183,2025-06-22,1,6864.1,2.83,103.7,677.74,186.34,51.2,2.1,103.7,6.54,1.8,4.74,26.7,Good,False
67,VH0185,2025-06-22,1,8050.1,18.94,189.1,317.56,135.62,74.3,17.5,189.1,1.68,0.72,0.96,45.9,Excellent,False
68,VH0001,2025-06-23,1,11180.1,18.71,91.8,136.16,194.97,30.3,5.1,91.8,1.48,2.12,-0.64,17.7,Poor,False
69,VH0002,2025-06-23,2,1888.2,36.14,215.6,962.87,560.27,121.0,231.7,215.6,4.47,2.6,1.87,176.4,Good,False
70,VH0003,2025-06-23,3,4196.2,19.05,488.1,1144.85,666.01,168.3,76.4,488.1,2.35,1.36,0.98,122.3,Good,False
71,VH0010,2025-06-23,1,1668.5,7.13,180.4,580.9,150.12,24.2,10.3,180.4,3.22,0.83,2.39,17.3,Average,False
72,VH0013,2025-06-23,2,10264.9,31.37,335.9,657.92,517.07,130.1,39.8,335.9,1.96,1.54,0.42,84.9,Good,False
73,VH0014,2025-06-23,1,306.8,11.61,188.6,191.69,283.54,11.7,44.3,188.6,1.02,1.5,-0.49,28.0,Average,False
74,VH0015,2025-06-23,1,2978.2,12.94,163.3,143.03,215.91,31.3,13.6,163.3,0.88,1.32,-0.45,22.5,Average,False
75,VH0016,2025-06-23,1,14637.5,0.79,109.4,171.55,112.6,70.9,0.4,109.4,1.57,1.03,0.54,35.6,Excellent,False
76,VH0017,2025-06-23,1,428.6,1.57,182.0,366.53,266.16,33.9,12.4,182.0,2.01,1.46,0.55,23.2,Good,False
77,VH0018,2025-06-23,1,2064.4,19.41,153.8,682.36,211.89,12.8,12.0,153.8,4.44,1.38,3.06,12.4,Average,False
78,VH0020,2025-06-23,1,8831.1,16.92,109.4,624.27,210.05,40.2,7.7,109.4,5.71,1.92,3.79,23.9,Poor,False
79,VH0022,2025-06-23,1,4885.8,7.98,219.4,271.9,91.05,38.4,6.3,219.4,1.24,0.41,0.82,22.4,Excellent,False
80,VH0023,2025-06-23,1,8903.6,16.2,222.4,181.03,148.99,68.8,12.5,222.4,0.81,0.67,0.14,40.7,Average,False
81,VH0024,2025-06-23,2,10248.8,14.28,369.5,682.61,461.77,139.3,19.4,369.5,1.85,1.25,0.6,79.4,Excellent,False
82,VH0025,2025-06-23,2,34501.1,19.7,441.9,406.91,274.15,107.4,6.1,441.9,0.92,0.62,0.3,56.8,Poor,False
83,VH0032,2025-06-23,1,4585.9,16.56,166.7,717.54,205.89,64.5,23.3,166.7,4.3,1.24,3.07,43.9,Excellent,False
84,VH0036,2025-06-23,1,4573.7,1.76,133.3,547.6,306.07,12.9,0.5,133.3,4.11,2.3,1.81,6.7,Poor,False
85,VH0038,2025-06-23,2,13631.8,19.1,169.5,528.48,389.71,47.3,6.6,169.5,3.12,2.3,0.82,26.9,Poor,False
86,VH0039,2025-06-23,1,1507.7,17.17,104.4,106.69,326.14,16.2,18.5,104.4,1.02,3.12,-2.1,17.3,Poor,False
87,VH0044,2025-06-23,2,16149.4,19.14,274.5,915.97,437.55,69.1,8.2,274.5,3.34,1.59,1.74,38.6,Good,False
88,VH0045,2025-06-23,1,3898.0,12.25,93.7,609.05,268.22,37.5,11.8,93.7,6.5,2.86,3.64,24.6,Good,False
89,VH0047,2025-06-23,1,13171.2,17.3,61.9,203.79,160.47,58.0,7.6,61.9,3.29,2.59,0.7,32.8,Excellent,False
90,VH0050,2025-06-23,1,6424.5,7.86,156.4,181.3,287.76,48.0,5.9,156.4,1.16,1.84,-0.68,26.9,Excellent,False
91,VH0051,2025-06-23,1,4930.7,14.23,174.0,704.01,274.96,25.6,7.4,174.0,4.05,1.58,2.47,16.5,Average,False
92,VH0054,2025-06-23,3,48313.1,10.26,466.9,1692.15,760.05,176.1,3.7,466.9,3.62,1.63,2.0,89.9,Good,False
93,VH0055,2025-06-23,1,3124.9,19.56,259.1,437.41,135.0,73.1,45.7,259.1,1.69,0.52,1.17,59.4,Average,False
94,VH0056,2025-06-23,2,5293.6,16.54,160.2,556.0,423.54,86.6,27.1,160.2,3.47,2.64,0.83,56.8,Excellent,False
95,VH0057,2025-06-23,2,920.7,13.39,194.8,417.23,276.51,53.2,77.4,194.8,2.14,1.42,0.72,65.3,Average,False
96,VH0058,2025-06-23,1,6545.2,2.99,202.0,780.48,183.86,58.1,2.7,202.0,3.86,0.91,2.95,30.4,Average,False
97,VH0066,2025-06-23,1,6094.1,9.73,213.2,423.82,194.11,52.4,8.4,213.2,1.99,0.91,1.08,30.4,Excellent,False
98,VH0070,2025-06-23,1,7103.3,11.52,101.9,772.34,251.01,32.7,5.3,101.9,7.58,2.46,5.12,19.0,Average,False
99,VH0071,2025-06-23,1,3518.0,7.25,197.6,792.87,319.21,23.7,4.9,197.6,4.01,1.62,2.4,14.3,Poor,False
100,VH0072,2025-06-23,1,16403.0,12.26,205.6,641.53,199.47,42.0,3.1,205.6,3.12,0.97,2.15,22.6,Poor,False
101,VH0073,2025-06-23,2,1336.6,30.84,336.0,510.03,526.31,55.5,128.1,336.0,1.52,1.57,-0.05,91.8,Poor,True
102,VH0074,2025-06-23,1,14649.8,2.81,140.8,739.82,203.07,45.5,0.9,140.8,5.25,1.44,3.81,23.2,Good,False
103,VH0079,2025-06-23,1,7415.5,14.3,121.0,524.05,252.46,58.7,11.3,121.0,4.33,2.09,2.24,35.0,Good,False
104,VH0081,2025-06-23,1,3203.8,8.64,132.0,347.12,129.55,49.1,13.2,132.0,2.63,0.98,1.65,31.1,Average,False
105,VH0082,2025-06-23,1,14652.6,12.13,95.0,113.38,311.08,66.3,5.5,95.0,1.19,3.27,-2.08,35.9,Average,False
106,VH0083,2025-06-23,1,2281.0,5.6,248.0,562.99,212.13,40.2,9.9,248.0,2.27,0.86,1.41,25.0,Excellent,False
107,VH0084,2025-06-23,3,5293.2,33.62,434.8,1683.69,689.61,112.9,71.7,434.8,3.87,1.59,2.29,92.3,Excellent,False
108,VH0085,2025-06-23,1,1198.8,1.42,207.1,598.28,318.7,43.1,5.1,207.1,2.89,1.54,1.35,24.1,Excellent,False
109,VH0088,2025-06-23,1,5576.3,3.42,82.3,272.1,137.29,79.6,4.9,82.3,3.31,1.67,1.64,42.2,Excellent,False
110,VH0092,2025-06-23,1,546.8,12.27,207.6,793.57,344.05,20.7,46.4,207.6,3.82,1.66,2.17,33.6,Poor,False
111,VH0093,2025-06-23,1,2576.9,12.49,101.9,733.5,134.91,43.0,20.9,101.9,7.2,1.32,5.87,31.9,Average,False
112,VH0094,2025-06-23,1,8704.7,10.97,199.3,327.04,313.86,60.4,7.6,199.3,1.64,1.57,0.07,34.0,Good,False
113,VH0096,2025-06-23,2,30751.3,30.62,310.4,791.4,382.16,138.4,13.8,310.4,2.55,1.23,1.32,76.1,Excellent,False
114,VH0098,2025-06-23,1,530.7,5.65,207.9,608.4,325.76,33.6,35.8,207.9,2.93,1.57,1.36,34.7,Poor,False
115,VH0099,2025-06-23,1,5491.9,10.24,189.9,798.32,95.1,16.4,3.1,189.9,4.2,0.5,3.7,9.7,Good,False
116,VH0103,2025-06-23,1,6325.8,12.51,259.1,194.07,363.86,24.3,4.8,259.1,0.75,1.4,-0.66,14.6,Excellent,False
117,VH0106,2025-06-23,1,7536.2,4.01,118.6,619.2,166.65,29.2,1.6,118.6,5.22,1.41,3.82,15.4,Average,False
118,VH0108,2025-06-23,1,2712.7,16.13,188.6,651.12,209.9,12.7,7.5,188.6,3.45,1.11,2.34,10.1,Poor,False
119,VH0112,2025-06-23,3,32220.6,25.2,374.2,1308.89,573.45,85.6,6.7,374.2,3.5,1.53,1.97,46.1,Average,False
120,VH0114,2025-06-23,1,12934.9,14.96,169.9,240.0,268.32,69.2,8.0,169.9,1.41,1.58,-0.17,38.6,Good,False
121,VH0116,2025-06-23,1,663.8,4.05,125.4,198.34,72.89,4.9,3.0,125.4,1.58,0.58,1.0,4.0,Excellent,False
122,VH0119,2025-06-23,1,27178.8,9.84,207.1,672.38,151.29,70.9,2.6,207.1,3.25,0.73,2.52,36.7,Excellent,False
123,VH0122,2025-06-23,3,18479.1,27.0,333.3,1722.23,528.28,190.2,27.8,333.3,5.17,1.58,3.58,109.0,Good,False
124,VH0124,2025-06-23,1,14042.1,17.26,128.3,500.18,322.86,66.0,8.1,128.3,3.9,2.52,1.38,37.1,Good,False
125,VH0125,2025-06-23,1,728.1,12.9,159.2,274.39,138.51,52.5,92.9,159.2,1.72,0.87,0.85,72.7,Excellent,False
126,VH0127,2025-06-23,1,2608.1,16.1,122.9,285.63,255.39,20.6,12.7,122.9,2.32,2.08,0.25,16.6,Average,False
127,VH0129,2025-06-23,2,28234.5,8.02,295.0,983.48,442.24,117.5,3.3,295.0,3.33,1.5,1.83,60.4,Average,False
128,VH0131,2025-06-23,1,3744.2,9.17,109.4,616.28,174.68,48.4,11.8,109.4,5.63,1.6,4.04,30.1,Excellent,False
129,VH0132,2025-06-23,1,12108.7,1.5,199.8,188.64,292.04,37.1,0.5,199.8,0.94,1.46,-0.52,18.8,Excellent,False
130,VH0133,2025-06-23,1,25166.7,7.99,114.4,174.12,273.84,73.7,2.3,114.4,1.52,2.39,-0.87,38.0,Good,False
131,VH0139,2025-06-23,2,4265.4,24.01,350.4,920.4,676.29,67.8,38.2,350.4,2.63,1.93,0.7,53.0,Average,False
132,VH0143,2025-06-23,1,471.3,10.24,117.8,172.31,158.07,3.0,6.5,117.8,1.46,1.34,0.12,4.8,Excellent,False
133,VH0144,2025-06-23,2,5798.0,27.63,340.7,1077.35,382.6,81.9,39.0,340.7,3.16,1.12,2.04,60.5,Average,False
134,VH0146,2025-06-23,3,1666.3,25.9,471.4,1653.05,610.35,62.6,97.4,471.4,3.51,1.29,2.21,80.0,Good,False
135,VH0147,2025-06-23,1,7200.3,9.86,92.8,783.13,109.21,22.9,3.1,92.8,8.44,1.18,7.26,13.0,Excellent,False
136,VH0149,2025-06-23,2,6923.6,36.48,158.6,452.02,615.29,56.2,29.6,158.6,2.85,3.88,-1.03,42.9,Good,False
137,VH0150,2025-06-23,1,2672.6,14.53,147.1,280.87,296.6,21.6,11.7,147.1,1.91,2.02,-0.11,16.7,Average,False
138,VH0151,2025-06-23,1,27309.2,4.72,152.5,213.34,167.8,70.2,1.2,152.5,1.4,1.1,0.3,35.7,Good,False
139,VH0152,2025-06-23,2,7371.6,3.17,329.7,849.79,403.19,53.2,2.3,329.7,2.58,1.22,1.35,27.8,Excellent,False
140,VH0153,2025-06-23,2,14652.1,15.82,347.9,1206.92,658.62,147.0,15.9,347.9,3.47,1.89,1.58,81.4,Good,False
141,VH0155,2025-06-23,1,9565.6,1.44,169.9,386.39,153.81,70.1,1.1,169.9,2.27,0.91,1.37,35.6,Good,False
142,VH0156,2025-06-23,2,14763.6,32.75,201.2,987.62,372.77,66.0,14.6,201.2,4.91,1.85,3.06,40.3,Poor,False
143,VH0157,2025-06-23,1,2248.7,7.06,205.6,574.73,274.11,16.0,5.0,205.6,2.8,1.33,1.46,10.5,Poor,False
144,VH0159,2025-06-23,2,2656.9,8.73,184.5,829.82,346.46,74.8,24.6,184.5,4.5,1.88,2.62,49.7,Average,False
145,VH0160,2025-06-23,1,2645.5,12.14,82.3,349.77,128.54,47.2,21.7,82.3,4.25,1.56,2.69,34.4,Poor,False
146,VH0161,2025-06-23,2,1301.7,28.53,216.5,795.37,298.9,73.2,160.5,216.5,3.67,1.38,2.29,116.8,Average,False
147,VH0162,2025-06-23,1,1203.6,0.29,88.1,116.34,245.3,53.9,1.3,88.1,1.32,2.78,-1.46,27.6,Good,False
148,VH0164,2025-06-23,1,12117.3,0.61,163.3,179.09,199.1,71.4,0.4,163.3,1.1,1.22,-0.12,35.9,Good,False
149,VH0165,2025-06-23,2,13244.1,16.75,314.5,840.69,623.85,62.1,7.9,314.5,2.67,1.98,0.69,35.0,Excellent,False
150,VH0166,2025-06-23,1,4824.3,14.34,189.1,707.31,310.95,65.2,19.4,189.1,3.74,1.64,2.1,42.3,Excellent,False
151,VH0167,2025-06-23,1,955.6,0.3,205.6,739.36,204.45,8.3,0.3,205.6,3.6,0.99,2.6,4.3,Poor,False
152,VH0170,2025-06-23,1,8732.3,7.6,67.4,489.98,194.29,43.6,3.8,67.4,7.27,2.88,4.39,23.7,Average,False
153,VH0171,2025-06-23,1,16923.7,16.3,95.0,343.56,320.13,65.5,6.3,95.0,3.62,3.37,0.25,35.9,Average,False
154,VH0173,2025-06-23,2,8827.1,27.32,314.2,1026.18,510.13,138.6,42.9,314.2,3.27,1.62,1.64,90.7,Average,True
155,VH0174,2025-06-23,1,6563.7,19.3,236.1,320.43,123.57,18.2,5.3,236.1,1.36,0.52,0.83,11.8,Excellent,True
156,VH0176,2025-06-23,2,9818.2,5.85,388.3,1184.96,571.66,94.7,5.6,388.3,3.05,1.47,1.58,50.1,Poor,False
157,VH0178,2025-06-23,1,1337.5,15.15,82.5,460.87,86.98,47.7,54.1,82.5,5.59,1.05,4.53,50.9,Average,False
158,VH0180,2025-06-23,1,1028.5,8.36,189.1,159.28,121.67,18.8,15.3,189.1,0.84,0.64,0.2,17.1,Good,False
159,VH0183,2025-06-23,1,179.4,11.85,214.4,452.52,211.63,1.3,8.8,214.4,2.11,0.99,1.12,5.1,Excellent,False
160,VH0184,2025-06-23,1,8062.1,1.72,145.6,206.57,320.57,37.7,0.8,145.6,1.42,2.2,-0.78,19.3,Good,False
161,VH0186,2025-06-23,2,10014.1,17.68,368.7,515.87,363.21,112.2,19.8,368.7,1.4,0.99,0.41,66.0,Good,False
162,VH0188,2025-06-23,3,23953.9,21.34,427.9,658.95,714.21,143.2,12.8,427.9,1.54,1.67,-0.13,78.0,Good,False
163,VH0189,2025-06-23,1,459.4,13.66,189.1,730.51,121.07,24.4,72.4,189.1,3.86,0.64,3.22,48.4,Good,False
164,VH0194,2025-06-23,1,12233.0,17.21,111.4,707.98,283.55,46.5,6.5,111.4,6.36,2.55,3.81,26.5,Excellent,False
165,VH0198,2025-06-23,2,6111.0,28.86,258.5,1010.35,264.04,101.9,48.1,258.5,3.91,1.02,2.89,75.0,Average,False
166,VH0199,2025-06-23,2,10009.2,2.37,258.3,1320.0,329.39,141.5,3.4,258.3,5.11,1.28,3.84,72.4,Excellent,False
167,VH0200,2025-06-23,1,8251.0,13.97,66.5,780.96,296.63,46.8,7.9,66.5,11.74,4.46,7.28,27.4,Average,False
168,VH0001,2025-06-24,1,9692.1,10.96,128.3,199.98,268.3,26.2,3.0,128.3,1.56,2.09,-0.53,14.6,Good,False
169,VH0006,2025-06-24,1,17749.9,11.59,109.5,585.21,212.27,72.5,4.7,109.5,5.34,1.94,3.41,38.6,Excellent,False
170,VH0016,2025-06-24,1,15857.9,7.37,97.7,581.29,126.66,76.8,3.6,97.7,5.95,1.3,4.65,40.2,Good,True
171,VH0022,2025-06-24,1,7591.7,7.87,88.1,214.86,132.45,59.7,6.2,88.1,2.44,1.5,0.94,33.0,Average,False
172,VH0023,2025-06-24,2,18206.7,28.54,230.7,1111.08,374.17,140.7,22.0,230.7,4.82,1.62,3.19,81.4,Average,False
173,VH0024,2025-06-24,1,4368.4,15.66,182.0,770.85,182.06,59.4,21.3,182.0,4.24,1.0,3.24,40.3,Excellent,False
174,VH0031,2025-06-24,1,20484.0,10.22,197.3,540.98,235.51,60.5,3.0,197.3,2.74,1.19,1.55,31.8,Poor,False
175,VH0032,2025-06-24,1,986.1,9.69,145.6,341.53,166.27,13.9,13.6,145.6,2.35,1.14,1.2,13.8,Good,False
176,VH0052,2025-06-24,1,1647.4,11.87,243.1,233.58,163.41,30.7,22.1,243.1,0.96,0.67,0.29,26.4,Excellent,False
177,VH0056,2025-06-24,2,3741.0,15.56,315.9,771.05,234.53,61.2,25.5,315.9,2.44,0.74,1.7,43.3,Excellent,False
178,VH0057,2025-06-24,1,1027.9,5.07,81.4,642.55,266.4,59.4,29.3,81.4,7.89,3.27,4.62,44.4,Good,False
179,VH0062,2025-06-24,1,10120.6,0.32,156.4,284.67,180.71,45.5,0.1,156.4,1.82,1.16,0.66,22.8,Excellent,True
180,VH0063,2025-06-24,1,1662.5,6.75,82.5,194.68,304.94,64.1,26.0,82.5,2.36,3.7,-1.34,45.1,Average,False
181,VH0064,2025-06-24,1,1809.9,2.71,228.7,781.51,185.88,5.4,0.8,228.7,3.42,0.81,2.6,3.1,Good,False
182,VH0067,2025-06-24,1,14228.0,6.94,214.4,465.27,295.21,53.3,2.6,214.4,2.17,1.38,0.79,28.0,Poor,False
183,VH0073,2025-06-24,2,869.5,34.12,221.5,1517.59,463.49,36.1,141.7,221.5,6.85,2.09,4.76,88.9,Good,False
184,VH0074,2025-06-24,1,23790.3,7.83,97.7,515.17,108.8,73.9,2.4,97.7,5.27,1.11,4.16,38.2,Good,False
185,VH0076,2025-06-24,2,363.9,21.42,262.4,1127.29,494.26,4.0,23.4,262.4,4.3,1.88,2.41,13.7,Average,False
186,VH0077,2025-06-24,1,1665.5,2.0,111.3,684.5,191.37,9.2,1.1,111.3,6.15,1.72,4.43,5.2,Poor,False
187,VH0078,2025-06-24,1,589.6,3.69,248.0,518.41,341.58,47.4,29.7,248.0,2.09,1.38,0.71,38.5,Average,False
188,VH0081,2025-06-24,1,323.1,15.58,90.3,378.41,238.4,4.9,23.9,90.3,4.19,2.64,1.55,14.4,Excellent,False
189,VH0082,2025-06-24,1,16530.8,1.5,88.1,147.71,150.61,74.9,0.7,88.1,1.68,1.71,-0.03,37.8,Average,False
190,VH0088,2025-06-24,2,4765.9,19.09,435.7,1020.39,528.66,68.0,27.2,435.7,2.34,1.21,1.13,47.6,Excellent,False
191,VH0091,2025-06-24,1,5975.0,18.19,91.8,742.25,91.92,71.4,21.7,91.8,8.09,1.0,7.08,46.6,Average,False
192,VH0092,2025-06-24,1,612.8,14.85,267.4,289.89,273.79,23.2,56.2,267.4,1.08,1.02,0.06,39.7,Good,False
193,VH0093,2025-06-24,1,4421.9,5.08,91.8,111.55,82.85,73.8,8.5,91.8,1.22,0.9,0.31,41.2,Good,False
