maintenance_id,vehicle_id,maintenance_type,maintenance_date,odometer_reading,description,parts_cost,labor_cost,total_cost,maintenance_provider,next_maintenance_due_date,next_maintenance_due_mileage,maintenance_status,created_at,updated_at,_loaded_at
11,VH0001,Routine Service,2022-11-16,116577,Ducimus placeat repudiandae blanditiis in.,253.80880377300423,262.31975444134855,405.66,"Anderson, Nielsen and Lynch",2023-04-19,388676,COMPLETED,2025-01-19 18:24:37.661974,2024-10-26 06:15:42.494154,2025-09-20 10:44:03.205440
12,VH0001,Transmission Service,2021-07-03,86651,Ut dolor unde tenetur sapiente nostrum sapiente.,2073.6916306096095,2143.228569073184,3314.36,Chambers Group,2021-08-27,380786,COMPLETED,2023-12-03 10:58:06.445254,2025-03-29 15:38:28.834194,2025-09-19 23:20:55.358228
13,VH0001,Preventive Maintenance,2023-11-03,182719,Ex eveniet odit quidem distinctio.,288.56470538911225,298.24112297464467,461.21,"Warner, Farmer and Medina",2024-02-09,418164,COMPLETED,2024-06-23 13:01:41.440492,2025-07-28 15:26:05.567915,2025-09-19 20:40:21.175737
14,VH0001,Preventive Maintenance,2024-10-26,375922,Repellendus impedit recusandae ea error.,274.0304192587398,283.21945976981175,437.98,Ryan Ltd,2025-04-09,355793,COMPLETED,2024-02-23 01:46:16.068639,2024-12-03 04:05:32.572968,2025-09-20 18:48:40.393910
15,VH0001,Body Work,2023-05-16,446178,Provident provident error est itaque.,606.8924754024956,627.2433530803227,969.99,Stanton-Bennett,2023-09-17,319329,COMPLETED,2023-11-29 17:38:10.529212,2025-01-09 12:41:28.215214,2025-09-20 00:24:43.852270
16,VH0002,Electrical Repair,2023-09-03,450864,Corrupti saepe assumenda quos repellat.,198.85631342299936,205.52454655153036,317.83,"Terrell, Martinez and Wood",2024-02-28,86179,COMPLETED,2025-08-26 22:12:24.835192,2025-04-21 09:58:31.520883,2025-09-20 11:03:24.731109
17,VH0002,Engine Repair,2021-07-29,430614,Sunt facilis impedit modi facilis.,1200.0702907973387,1240.3121535368855,1918.06,"Smith, Campbell and Morse",2021-12-26,479464,COMPLETED,2024-09-11 21:10:34.323961,2025-04-20 21:22:14.661396,2025-09-20 01:30:52.403077
18,VH0002,Engine Repair,2022-06-03,313757,Rerum exercitationem nobis.,4420.550257539521,4568.78422188421,7065.32,"Garrett, Stokes and Walker",2022-08-20,193904,COMPLETED,2024-01-03 20:28:50.143769,2024-12-02 19:55:33.822631,2025-09-20 03:07:28.668862
19,VH0002,Electrical Repair,2025-08-13,63163,Quod quasi nobis atque reprehenderit omnis aperiam.,491.0874379564931,507.55503441555607,784.9,Campbell Ltd,2025-12-11,230299,COMPLETED,2024-07-11 20:41:10.148784,2025-09-11 09:13:20.853487,2025-09-20 12:03:49.274104
20,VH0002,Electrical Repair,2024-03-19,389421,Numquam officia officiis eveniet eveniet dolorem.,384.28577448449244,397.17199915662445,614.2,"Foster, Kane and Carroll",2024-08-13,300784,COMPLETED,2025-05-24 10:20:41.259736,2025-01-11 01:52:34.255898,2025-09-20 17:04:20.027385
21,VH0002,Body Work,2023-02-14,117355,Soluta expedita maiores enim alias architecto.,1805.7802521754518,1866.3333394429878,2886.16,Keller PLC,2023-07-22,273400,COMPLETED,2024-01-17 06:18:30.846425,2024-09-26 01:48:57.099514,2025-09-19 22:14:35.733215
22,VH0002,Transmission Service,2024-01-14,312925,Earum incidunt expedita quaerat.,1231.4788643550098,1272.7739483230505,1968.26,Chapman Ltd,2024-05-16,174721,COMPLETED,2025-01-30 17:42:28.162330,2025-03-07 09:49:43.618013,2025-09-20 18:27:04.809596
23,VH0002,Transmission Service,2020-12-01,212799,Ipsa illo vel ratione fuga optio.,2985.616414111136,3085.73285466544,4771.88,Ibarra Ltd,2021-03-07,371466,COMPLETED,2024-05-03 01:15:50.329870,2025-03-15 00:52:20.410484,2025-09-19 22:18:14.061233
24,VH0002,Oil Change,2024-08-07,289423,Ipsum accusantium repudiandae voluptatibus itaque.,85.33496708228576,88.19649782639532,136.39,"Johnson, Booker and Byrd",2024-09-19,471491,COMPLETED,2023-11-04 01:29:40.907788,2025-02-03 09:54:49.858849,2025-09-20 06:32:20.916130
25,VH0002,Oil Change,2023-09-28,227789,Voluptate voluptates fugiat tenetur libero saepe eum.,62.45425921367963,64.54853297918308,99.82,Smith-Simmons,2024-02-10,163898,COMPLETED,2025-07-23 14:35:46.943183,2024-11-06 02:46:44.614401,2025-09-20 00:19:36.512150
26,VH0002,Body Work,2024-01-16,289921,Reprehenderit beatae amet possimus alias.,1204.0182608999064,1244.3925106106046,1924.37,Reynolds-Carney,2024-04-02,475993,COMPLETED,2023-11-18 10:16:06.075544,2025-01-15 01:28:19.816936,2025-09-19 21:53:53.840777
27,VH0002,Electrical Repair,2021-12-28,403001,Officiis officia minus officiis.,798.6099078634825,825.389631135635,1276.41,"Owens, Ward and Blake",2022-05-31,398326,COMPLETED,2024-06-17 11:55:20.349216,2024-12-05 18:52:15.076102,2025-09-20 05:07:16.269363
28,VH0002,Engine Repair,2025-02-14,242168,Aliquam rerum nihil.,4214.223458692645,4355.538682708241,6735.55,Ramirez Group,2025-03-25,286931,COMPLETED,2025-05-02 03:10:36.790668,2025-08-21 14:08:50.402637,2025-09-19 21:27:55.046853
29,VH0002,Oil Change,2023-04-27,492920,Repellat error excepturi quas ipsa commodi.,42.057456465072576,43.46776584713171,67.22,Lee-Miller,2023-10-17,314487,COMPLETED,2023-12-30 09:04:45.666663,2025-08-06 02:17:24.467181,2025-09-20 06:27:01.406237
30,VH0002,Transmission Service,2023-07-10,276249,Aliquid veniam eveniet.,1308.2359122445532,1352.1048842666107,2090.94,Rosario-Stark,2023-11-26,146411,COMPLETED,2025-08-29 02:08:55.007844,2025-01-03 02:55:17.815360,2025-09-20 01:25:08.844892
31,VH0002,Brake Service,2021-08-06,225351,Nostrum nemo sit.,571.4983916144986,590.6624022625267,913.42,Collins-Garrett,2021-09-22,388279,COMPLETED,2024-09-12 19:05:55.657938,2025-02-23 19:21:05.455352,2025-09-20 00:10:52.784590
32,VH0002,Routine Service,2021-01-30,206713,Quas molestiae ipsa aliquid perferendis assumenda a.,330.4282045274343,341.50842753923234,528.12,"Robles, Mcconnell and Pittman",2021-03-06,197003,COMPLETED,2024-02-14 21:25:00.878048,2024-10-30 02:15:45.457626,2025-09-20 16:48:24.724418
33,VH0002,Brake Service,2021-11-08,105296,Quos voluptatem inventore autem dolore.,632.5010992215289,653.7107088691221,1010.92,Benjamin Inc,2022-01-23,430597,COMPLETED,2023-09-27 10:57:04.153068,2024-11-10 19:37:35.273667,2025-09-19 21:02:41.479269
34,VH0003,Routine Service,2024-11-04,318949,Facere assumenda consequatur iure voluptate commodi.,498.36396605361887,515.0755657574505,796.53,Parsons PLC,2025-01-14,472259,COMPLETED,2024-03-14 04:12:18.086955,2025-02-23 14:14:25.208585,2025-09-20 08:03:16.488030
35,VH0003,Routine Service,2022-12-19,371957,Voluptatibus tempore blanditiis tempore tempora.,402.57407339068203,416.0735581526325,643.43,"Griffin, Martinez and Villegas",2023-02-13,460617,COMPLETED,2024-07-13 01:37:26.555948,2025-08-30 13:43:31.506713,2025-09-20 00:06:59.633700
36,VH0003,Tire Replacement,2025-04-23,278765,Ut harum ab.,280.7188186876542,290.1321407710887,448.67,Edwards-Abbott,2025-10-15,420624,COMPLETED,2024-09-28 11:41:08.470863,2025-05-17 04:48:06.735070,2025-09-20 04:53:11.346830
37,VH0003,Transmission Service,2021-02-18,339397,Illum animi odit fugiat corrupti doloribus qui.,2355.392749306936,2434.375949242964,3764.6,Brown-Bishop,2021-07-27,328224,COMPLETED,2025-04-29 04:44:55.415163,2024-10-16 09:41:33.022767,2025-09-20 09:26:50.947309
38,VH0003,Routine Service,2022-12-07,216601,Soluta facere similique reiciendis quas.,174.60539089121994,180.4604197405392,279.07,Byrd PLC,2023-05-30,160272,COMPLETED,2023-11-14 09:15:43.781075,2024-12-13 18:26:35.237780,2025-09-20 01:29:36.524159
39,VH0003,Tire Replacement,2021-01-26,413229,Tenetur nulla eaque delectus quasi adipisci.,1195.609272282076,1235.7015440383725,1910.93,Morales-Williamson,2021-04-20,466380,COMPLETED,2024-11-29 23:30:22.281274,2025-02-25 01:13:10.580180,2025-09-20 10:45:28.340466
40,VH0003,Body Work,2022-10-31,315930,Reprehenderit possimus exercitationem dolorum eum.,1251.093581108655,1293.0464038319403,1999.61,"Smith, Reyes and Pope",2022-12-21,474953,COMPLETED,2024-05-07 07:13:41.015442,2025-07-19 08:04:32.607204,2025-09-19 21:22:13.504763
41,VH0003,Brake Service,2025-02-16,207603,Laudantium accusamus id tempore repudiandae accusamus nam aut.,593.1903287707627,613.0817334425335,948.09,Curtis-Lowe,2025-05-09,317256,COMPLETED,2025-02-21 14:51:32.711386,2024-10-13 16:06:59.128454,2025-09-19 23:39:01.552134
42,VH0003,Transmission Service,2020-12-10,108907,Atque quasi saepe reiciendis laborum sunt.,2637.3691622744886,2725.8078551040962,4215.28,"Murphy, Lee and Garcia",2021-03-12,196997,COMPLETED,2023-10-14 10:12:20.794666,2025-04-09 19:35:07.122009,2025-09-19 23:10:42.983847
43,VH0003,Brake Service,2023-09-25,131909,Optio ratione maxime labore illum velit.,475.0953435315117,491.0266783451502,759.34,"Martinez, Hicks and Kelly",2023-12-05,450125,COMPLETED,2024-03-26 07:37:17.086926,2025-04-22 02:24:53.830158,2025-09-20 14:18:16.507326
44,VH0003,Brake Service,2023-03-06,498096,Aliquid sequi maiores quae quod mollitia.,390.8928369699307,404.0006157490926,624.76,Lopez-Taylor,2023-05-03,470223,COMPLETED,2024-11-08 11:17:07.459045,2025-02-08 06:42:27.183239,2025-09-20 17:21:56.644246
45,VH0003,Routine Service,2021-01-11,244265,Nemo id voluptas ducimus molestias voluptatibus.,194.3327280281396,200.84927212316438,310.6,"Graham, Moyer and Webster",2021-02-15,141637,COMPLETED,2025-03-24 14:17:28.030848,2024-11-22 18:03:28.338170,2025-09-20 13:16:55.816563
46,VH0003,Electrical Repair,2022-05-05,152294,Voluptates numquam libero facere omnis omnis.,571.3232043516272,590.4813404589386,913.14,"Rowe, Hernandez and Parker",2022-09-13,419925,COMPLETED,2025-04-07 19:41:08.987846,2025-07-29 07:25:52.960242,2025-09-20 17:14:57.325409
47,VH0003,Engine Repair,2022-07-01,472718,Debitis quas eum.,3485.6258890981544,3602.5091080780217,5571.04,"Willis, Gregory and Brown",2022-12-19,497473,COMPLETED,2024-05-22 22:07:28.758636,2025-06-17 19:02:05.725331,2025-09-20 08:29:46.140297
48,VH0003,Body Work,2023-04-21,418440,Esse beatae rerum nisi tenetur.,934.5364537878654,965.8741912411001,1493.66,Cooper-Bray,2023-08-12,304000,COMPLETED,2024-12-02 16:12:32.539196,2024-11-01 12:32:06.187350,2025-09-20 08:04:20.448398
49,VH0003,Engine Repair,2023-12-16,66015,Consectetur provident repellat iure qui eaque aperiam.,3630.0490172718037,3751.7751656575133,5801.87,Lopez-Alvarez,2024-03-05,454024,COMPLETED,2023-12-12 07:31:50.275110,2024-09-22 13:52:02.088987,2025-09-20 12:03:55.498229
50,VH0003,Body Work,2024-03-17,403408,Molestias inventore molestias ut a.,620.5007717148331,641.3079753233324,991.74,"Rivera, Lane and Mccarty",2024-08-24,169428,COMPLETED,2023-12-08 22:53:44.131042,2025-01-25 14:12:11.013157,2025-09-20 04:03:42.601941
51,VH0003,Routine Service,2023-11-02,207216,Magnam quia eveniet accusamus numquam cum natus.,135.80766885314867,140.36169673874454,217.06,Murphy-Garcia,2023-12-02,180904,COMPLETED,2025-02-06 12:37:49.277649,2025-06-11 09:22:24.476631,2025-09-20 03:22:56.436451
52,VH0004,Body Work,2025-05-26,282369,Reprehenderit recusandae illo laboriosam libero totam.,1278.554184563758,1321.4278415443862,2043.5,Robinson-Smith,2025-10-07,484867,COMPLETED,2024-06-07 14:26:23.861547,2025-01-12 22:47:47.808883,2025-09-19 22:50:36.395579
53,VH0004,Tire Replacement,2023-09-19,358426,Eum suscipit animi rerum aliquam voluptates voluptatum.,336.4221115928225,347.7033278191419,537.7,Owens and Sons,2023-12-20,336925,COMPLETED,2024-03-24 10:59:45.515058,2024-10-19 09:05:38.209225,2025-09-19 19:04:03.448588
54,VH0004,Transmission Service,2023-10-04,468933,Voluptates impedit aliquid perferendis eos mollitia.,1302.9552676065703,1346.6471641870244,2082.5,"Bennett, Ross and Mckenzie",2024-03-10,433275,COMPLETED,2024-05-02 14:17:15.105317,2025-07-26 03:35:16.017472,2025-09-19 23:26:50.886132
55,VH0004,Oil Change,2023-02-28,197294,Atque eaque quis reprehenderit a officia.,83.6644313970471,86.4699441993224,133.72,Howard PLC,2023-07-20,335566,COMPLETED,2024-03-29 22:43:55.926598,2025-06-14 23:47:39.969509,2025-09-20 05:01:26.477857
56,VH0004,Engine Repair,2023-06-10,332280,Eius quisquam esse veritatis.,4274.857021710053,4418.205466228705,6832.46,Welch LLC,2023-07-30,176101,COMPLETED,2025-06-28 09:11:50.411029,2025-04-12 23:31:36.541809,2025-09-20 01:20:17.242763
57,VH0004,Transmission Service,2023-04-04,235986,Quis nisi deleniti quod illo animi.,2428.520918179856,2509.956319255055,3881.48,Thompson-Mcclure,2023-08-19,332596,COMPLETED,2024-04-03 09:27:45.373931,2024-12-10 02:34:49.277873,2025-09-20 02:50:35.890395
58,VH0004,Routine Service,2024-12-29,259683,Quasi nobis totam eos officiis a.,475.7147556395215,491.66686115069405,760.33,White Inc,2025-05-16,425000,COMPLETED,2024-12-29 18:44:36.663230,2025-08-25 19:01:15.216132,2025-09-20 07:44:14.322536
59,VH0005,Engine Repair,2024-12-30,335120,Mollitia deserunt repellendus.,3986.824134797516,4120.513995157809,6372.1,Decker and Sons,2025-02-17,65593,COMPLETED,2024-08-05 13:13:20.504429,2025-05-25 21:08:34.954581,2025-09-20 09:26:23.136439
60,VH0005,Oil Change,2025-03-05,233632,Nihil qui atque minus eius doloremque.,41.49435454869999,42.88578147845544,66.32,Boyle-Torres,2025-07-26,386235,COMPLETED,2024-09-27 19:06:51.081140,2024-10-20 10:12:23.876923,2025-09-19 21:33:52.196961
61,VH0005,Engine Repair,2025-01-19,309791,Voluptates repudiandae expedita ratione ducimus rerum ipsam neque.,648.5307337742685,670.2778638974397,1036.54,Pugh PLC,2025-03-30,176211,COMPLETED,2025-04-01 09:23:03.315797,2024-11-04 07:47:18.448346,2025-09-19 23:14:57.501120
62,VH0005,Body Work,2025-08-13,335240,Eius doloribus minus suscipit iusto.,1052.5438453956806,1087.8387154366894,1682.27,Andrade and Sons,2026-01-26,268194,COMPLETED,2024-05-21 01:56:07.587997,2024-10-19 07:07:48.069570,2025-09-20 06:50:34.593884
63,VH0005,Tire Replacement,2025-07-16,295500,Unde similique corporis officiis a ab alias.,407.1101721614612,420.761765566969,650.68,Patel Ltd,2026-01-12,393760,COMPLETED,2024-11-27 20:41:36.691137,2025-09-04 04:09:10.956944,2025-09-20 06:56:22.032798
64,VH0005,Transmission Service,2025-03-03,263332,Magnam ducimus quas minima reprehenderit perferendis iure.,2959.4947418794072,3058.7352464518463,4730.13,Mccall PLC,2025-07-20,356120,COMPLETED,2024-06-17 06:41:09.902508,2025-05-14 17:47:42.356326,2025-09-20 01:10:00.005843
65,VH0005,Electrical Repair,2025-05-10,340582,Doloremque veniam et.,722.4409886421505,746.6665455326922,1154.67,Clarke-Murphy,2025-09-03,416382,COMPLETED,2024-03-30 05:02:25.532407,2024-12-09 11:02:30.341755,2025-09-20 05:42:02.925485
66,VH0005,Oil Change,2024-11-21,437148,Tempore voluptatibus quisquam.,51.91174000159286,53.652492298966344,82.97,"Schmitt, Blackwell and Clark",2025-02-24,410832,COMPLETED,2025-01-03 17:48:08.777528,2024-12-09 06:45:16.821370,2025-09-20 01:40:08.153373
67,VH0005,Preventive Maintenance,2024-11-30,399163,Dolore est maiores placeat rerum eaque.,179.89854890512225,185.9310728060961,287.53,Gibbs-Mendez,2025-01-24,476535,COMPLETED,2024-08-03 04:21:57.754361,2024-11-01 02:27:46.649134,2025-09-19 22:22:53.826056
68,VH0005,Routine Service,2024-12-27,464242,Tempore non architecto saepe rerum.,137.72221536881548,142.34044359224384,220.12,Jimenez-Marshall,2025-04-01,350193,COMPLETED,2024-05-08 00:18:30.538444,2025-02-21 20:12:19.468686,2025-09-20 04:42:23.216374
69,VH0005,Tire Replacement,2025-02-14,258967,Amet reiciendis ipsa culpa occaecati.,491.16877489996915,507.63909882436485,785.03,"Neal, Baldwin and Simpson",2025-08-02,235739,COMPLETED,2024-06-27 18:29:06.262829,2025-09-03 07:02:48.765821,2025-09-20 08:12:02.890492
70,VH0005,Brake Service,2025-01-28,93523,Reiciendis esse rem inventore voluptates et.,691.2513991630688,714.4310780010123,1104.82,Little-Gibbs,2025-07-09,177295,COMPLETED,2024-12-24 12:18:00.159462,2025-03-21 06:33:23.675053,2025-09-20 13:57:47.020684
71,VH0005,Electrical Repair,2025-05-30,372667,Repellat sed ducimus sapiente molestias voluptatibus laboriosam quibusdam.,423.3713041687096,437.5681808357425,676.67,Jacobson Group,2025-10-25,57522,COMPLETED,2025-07-25 19:20:45.408765,2025-08-19 00:54:41.290879,2025-09-20 04:16:45.070831
72,VH0005,Body Work,2025-08-07,87363,Modi fuga eum minima.,1339.7133093697807,1384.637810475614,2141.25,Oneal-Duncan,2026-01-24,103750,COMPLETED,2025-03-25 18:52:23.763405,2025-08-06 09:25:14.204268,2025-09-20 01:48:28.952134
73,VH0005,Preventive Maintenance,2025-08-30,382799,Eaque neque natus adipisci.,301.5348195295608,311.64616293315464,481.94,"Miller, Walton and Phillips",2025-12-18,122632,COMPLETED,2025-09-17 21:35:29.050680,2025-08-10 16:03:32.482434,2025-09-20 15:14:40.545794
74,VH0005,Preventive Maintenance,2025-04-19,464539,Sit doloribus esse voluptatibus quo repellendus.,302.33567558840184,312.47387403527205,483.22,Hunt-Rogers,2025-10-05,452228,COMPLETED,2024-04-11 12:56:55.926498,2025-03-12 10:50:56.278131,2025-09-20 10:18:51.448329
75,VH0005,Tire Replacement,2025-03-28,285401,Incidunt velit velit voluptatum similique distinctio aspernatur.,864.7118161576645,893.7081295252432,1382.06,Stewart-Reyes,2025-05-08,401210,COMPLETED,2024-04-17 18:53:14.057760,2025-06-03 09:46:45.070511,2025-09-20 15:50:50.111915
76,VH0005,Oil Change,2024-12-31,117210,Sit architecto animi doloremque occaecati temporibus reiciendis.,44.30986413056292,45.79570332183676,70.82,Brewer-Howard,2025-03-12,275308,COMPLETED,2023-12-17 15:15:56.852007,2024-11-20 23:58:38.362376,2025-09-20 12:06:42.706523
77,VH0006,Preventive Maintenance,2021-10-03,228503,Provident voluptates sit modi sit natus.,272.8979587380349,282.0490245394739,436.17,"Schneider, Hartman and House",2022-03-22,322423,COMPLETED,2025-08-21 21:33:47.852314,2025-08-25 21:35:08.095369,2025-09-20 05:06:47.494868
78,VH0006,Engine Repair,2021-10-28,137132,Non dolor laudantium voluptate.,4654.187499330467,4810.256002940978,7438.74,Payne LLC,2022-04-03,490301,COMPLETED,2025-05-25 09:33:06.919713,2025-06-22 07:47:02.720519,2025-09-20 04:10:03.418634
79,VH0006,Oil Change,2022-04-01,105426,Quaerat fugit impedit sapiente.,58.47500567131335,60.435843440537475,93.46,Mcgee-Mack,2022-07-18,262226,COMPLETED,2024-02-27 09:14:22.887839,2025-03-20 17:30:27.617640,2025-09-20 13:58:54.934371
80,VH0006,Transmission Service,2025-01-19,496709,Magnam qui exercitationem modi.,3051.6307287738823,3153.960822153254,4877.39,Murillo Ltd,2025-06-15,142099,COMPLETED,2025-06-04 02:10:58.471232,2025-01-10 19:36:24.950827,2025-09-20 14:39:35.827646
81,VH0006,Tire Replacement,2024-08-05,493885,Suscipit vitae quidem vitae illum suscipit quas.,1230.1649598834738,1271.4159847961394,1966.16,Short-Logan,2024-12-13,483153,COMPLETED,2024-07-28 04:53:19.840366,2025-03-09 21:05:27.292692,2025-09-19 20:34:03.096570
82,VH0006,Body Work,2023-02-22,388012,Impedit eius optio culpa laudantium.,1253.4711225333392,1295.5036711663513,2003.41,Kennedy PLC,2023-04-17,182184,COMPLETED,2025-02-19 14:39:27.673781,2025-01-06 10:50:30.187541,2025-09-20 02:59:05.420057
83,VH0006,Oil Change,2025-09-03,433318,Cum similique earum vero quis cumque velit.,38.97290930094274,40.27978480538283,62.29,Grimes and Sons,2025-10-09,374974,COMPLETED,2024-02-14 06:26:41.178828,2025-04-04 15:46:23.958864,2025-09-20 07:56:52.177123
84,VH0006,Routine Service,2022-05-19,422597,Quos dolorum culpa quo.,337.58585555332576,348.90609551440616,539.56,"Matthews, Tran and Harrison",2022-07-14,198093,COMPLETED,2024-04-13 20:53:18.259647,2024-12-24 16:46:04.342203,2025-09-20 08:54:28.223864
85,VH0006,Transmission Service,2024-12-01,366217,Eos earum itaque in nam alias.,1765.737449233401,1824.94778433712,2822.16,Patterson Ltd,2025-01-16,288646,COMPLETED,2024-08-11 03:21:49.044373,2025-07-23 22:15:27.771731,2025-09-20 16:36:30.297034
86,VH0006,Brake Service,2023-03-16,483714,Consequuntur sint eaque excepturi eum assumenda natus.,227.93739905966368,235.5808059471668,364.31,Brooks PLC,2023-07-26,281042,COMPLETED,2023-11-04 13:49:03.706544,2025-01-24 19:51:36.617198,2025-09-20 12:01:21.387706
87,VH0006,Oil Change,2025-03-04,256842,Ratione fugit neque at sequi tempore.,33.03531242719179,34.143082962340884,52.8,"Smith, Cochran and Flowers",2025-04-21,248814,COMPLETED,2025-05-29 16:00:29.406460,2025-05-19 19:52:33.890989,2025-09-19 21:47:22.934131
88,VH0006,Engine Repair,2022-11-13,298467,Voluptates velit magnam velit veritatis.,1244.4865186232164,1286.2177872394723,1989.05,Farmer-Vaughn,2023-03-04,136598,COMPLETED,2024-12-22 18:35:13.320424,2025-07-11 08:26:43.096812,2025-09-20 13:12:55.345195
89,VH0006,Tire Replacement,2022-09-10,90480,Asperiores ut rerum laboriosam expedita.,701.9440788861883,725.4823145128762,1121.91,Bradley Inc,2023-02-21,488279,COMPLETED,2024-03-22 02:57:40.634408,2024-12-30 08:52:14.020950,2025-09-20 09:09:51.476970
90,VH0006,Preventive Maintenance,2025-05-20,329693,Id dolores quisquam sed voluptates earum consequuntur.,192.05529361081045,198.49546867651813,306.96,Rowland LLC,2025-07-14,401029,COMPLETED,2025-03-03 18:21:21.795241,2025-06-09 21:36:14.473699,2025-09-19 19:07:33.752875
91,VH0006,Routine Service,2023-11-08,150523,Commodi tempore quod in vero cumque.,155.21591490412388,160.42075797911983,248.08,"Camacho, Baird and Harris",2024-02-12,130142,COMPLETED,2025-05-20 06:59:43.966293,2025-04-15 00:50:49.636483,2025-09-20 11:10:23.566607
92,VH0006,Routine Service,2023-02-01,212309,Rerum assumenda quo omnis excepturi corporis assumenda.,211.17573201563962,218.25707123956997,337.52,"Hughes, Wells and Murphy",2023-07-11,201091,COMPLETED,2024-12-20 21:37:29.058777,2024-12-31 01:25:13.352462,2025-09-20 01:00:09.691208
93,VH0006,Electrical Repair,2025-07-21,93690,Quis praesentium beatae.,700.3235967046271,723.8074928296855,1119.32,Garcia PLC,2025-10-01,498181,COMPLETED,2025-03-23 00:59:47.760488,2025-08-22 10:09:08.354041,2025-09-20 12:02:10.766617
94,VH0006,Engine Repair,2022-03-02,190757,Ipsam doloremque voluptatum assumenda.,632.2883718308992,653.4908481076222,1010.58,Lopez Inc,2022-06-07,70805,COMPLETED,2025-03-17 23:26:18.336888,2024-12-13 05:52:38.742862,2025-09-20 01:24:50.041524
95,VH0006,Engine Repair,2025-05-03,294416,Sit iure possimus ex reiciendis.,4146.888982870403,4285.946285200531,6627.93,Campbell-Hall,2025-08-14,266654,COMPLETED,2024-07-14 18:06:41.530570,2024-10-19 14:06:23.998218,2025-09-19 19:47:45.659952
96,VH0006,Electrical Repair,2024-03-31,278094,Nesciunt eum deleniti dolores.,648.6433541575431,670.394260771175,1036.72,Gibson LLC,2024-07-03,417741,COMPLETED,2024-09-21 01:44:03.457167,2025-08-05 23:25:05.604395,2025-09-19 21:08:47.581061
97,VH0007,Engine Repair,2025-04-26,64447,Eligendi nesciunt reprehenderit quam nulla necessitatibus illo.,1984.3085864174009,2050.8482502853053,3171.5,Moore-Rodriguez,2025-09-01,298092,COMPLETED,2024-09-22 05:04:32.828791,2025-02-21 01:35:38.446748,2025-09-20 06:30:35.696211
98,VH0007,Routine Service,2025-05-02,436118,Dolore nostrum necessitatibus nostrum at.,470.9221326623948,486.71352752396047,752.67,"Jones, Friedman and Glenn",2025-10-27,276240,COMPLETED,2024-08-04 22:12:37.658093,2025-08-07 06:03:00.168221,2025-09-19 21:49:39.429936
