maintenance_id,vehicle_id,maintenance_type,maintenance_date,maintenance_mileage,maintenance_cost_usd,maintenance_duration_hours,next_maintenance_due_date,next_maintenance_due_mileage,maintenance_status,risk_score,parts_replaced,service_provider,warranty_covered
67,VH0005,Preventive Maintenance,2024-11-30,399163,287.53,2.1,2025-01-24,476535,Scheduled,8,[],Gibbs-Mendez,False
68,VH0005,Routine Service,2024-12-27,464242,220.12,7.9,2025-04-01,350193,Completed,2,"[""molestias"", ""tenetur"", ""quaerat""]",Jimenez-Marshall,False
69,VH0005,Tire Replacement,2025-02-14,258967,785.03,1.6,2025-08-02,235739,Completed,5,"[""minima""]","Neal, Baldwin and Simpson",True
70,VH0005,Brake Service,2025-01-28,93523,1104.82,3.9,2025-07-09,177295,Completed,1,[],Little-Gibbs,False
71,VH0005,Electrical Repair,2025-05-30,372667,676.67,5.3,2025-10-25,57522,In Progress,4,"[""eos""]",Jacobson Group,True
72,VH0005,Body Work,2025-08-07,87363,2141.25,7.8,2026-01-24,103750,In Progress,4,"[""nam"", ""esse"", ""inventore""]",Oneal-Duncan,False
73,VH0005,Preventive Maintenance,2025-08-30,382799,481.94,2.3,2025-12-18,122632,In Progress,9,"[""minima"", ""facere""]","Miller, Walton and Phillips",True
74,VH0005,Preventive Maintenance,2025-04-19,464539,483.22,2.0,2025-10-05,452228,Completed,5,"[""eum"", ""reprehenderit"", ""animi""]",Hunt-Rogers,True
75,VH0005,Tire Replacement,2025-03-28,285401,1382.06,4.1,2025-05-08,401210,Scheduled,8,"[""non"", ""nemo"", ""maxime""]",Stewart-Reyes,False
76,VH0005,Oil Change,2024-12-31,117210,70.82,4.3,2025-03-12,275308,Completed,3,"[""eveniet""]",Brewer-Howard,True
77,VH0006,Preventive Maintenance,2021-10-03,228503,436.17,7.0,2022-03-22,322423,Scheduled,10,"[""provident"", ""quam""]","Schneider, Hartman and House",True
78,VH0006,Engine Repair,2021-10-28,137132,7438.74,5.4,2022-04-03,490301,Scheduled,2,"[""aut"", ""magni""]",Payne LLC,False
79,VH0006,Oil Change,2022-04-01,105426,93.46,3.3,2022-07-18,262226,Scheduled,2,"[""iure"", ""explicabo""]",Mcgee-Mack,False
80,VH0006,Transmission Service,2025-01-19,496709,4877.39,2.9,2025-06-15,142099,Completed,2,"[""eaque"", ""voluptatibus"", ""sed""]",Murillo Ltd,False
81,VH0006,Tire Replacement,2024-08-05,493885,1966.16,1.9,2024-12-13,483153,In Progress,9,"[""facilis"", ""accusamus"", ""in""]",Short-Logan,False
82,VH0006,Body Work,2023-02-22,388012,2003.41,2.9,2023-04-17,182184,In Progress,10,"[""necessitatibus"", ""repellendus"", ""ullam""]",Kennedy PLC,False
83,VH0006,Oil Change,2025-09-03,433318,62.29,3.0,2025-10-09,374974,Scheduled,6,[],Grimes and Sons,False
84,VH0006,Routine Service,2022-05-19,422597,539.56,1.9,2022-07-14,198093,Scheduled,4,"[""eos"", ""pariatur"", ""eveniet""]","Matthews, Tran and Harrison",False
85,VH0006,Transmission Service,2024-12-01,366217,2822.16,7.4,2025-01-16,288646,Scheduled,2,"[""laboriosam"", ""blanditiis"", ""ipsam""]",Patterson Ltd,False
86,VH0006,Brake Service,2023-03-16,483714,364.31,3.7,2023-07-26,281042,Scheduled,6,"[""nulla"", ""odio"", ""quos""]",Brooks PLC,False
87,VH0006,Oil Change,2025-03-04,256842,52.8,7.2,2025-04-21,248814,Completed,5,"[""inventore""]","Smith, Cochran and Flowers",False
88,VH0006,Engine Repair,2022-11-13,298467,1989.05,4.4,2023-03-04,136598,Completed,9,"[""nihil"", ""nisi"", ""vitae""]",Farmer-Vaughn,True
89,VH0006,Tire Replacement,2022-09-10,90480,1121.91,4.9,2023-02-21,488279,Scheduled,3,"[""repudiandae""]",Bradley Inc,False
90,VH0006,Preventive Maintenance,2025-05-20,329693,306.96,5.2,2025-07-14,401029,Completed,8,[],Rowland LLC,True
91,VH0006,Routine Service,2023-11-08,150523,248.08,7.2,2024-02-12,130142,Scheduled,1,"[""sed"", ""sequi""]","Camacho, Baird and Harris",True
92,VH0006,Routine Service,2023-02-01,212309,337.52,5.6,2023-07-11,201091,Scheduled,6,[],"Hughes, Wells and Murphy",False
93,VH0006,Electrical Repair,2025-07-21,93690,1119.32,3.4,2025-10-01,498181,In Progress,10,"[""tempore"", ""incidunt"", ""consectetur""]",Garcia PLC,True
94,VH0006,Engine Repair,2022-03-02,190757,1010.58,5.4,2022-06-07,70805,Scheduled,7,"[""voluptas"", ""sed"", ""porro""]",Lopez Inc,False
95,VH0006,Engine Repair,2025-05-03,294416,6627.93,4.3,2025-08-14,266654,Scheduled,9,[],Campbell-Hall,True
96,VH0006,Electrical Repair,2024-03-31,278094,1036.72,4.2,2024-07-03,417741,Completed,10,[],Gibson LLC,False
97,VH0007,Engine Repair,2025-04-26,64447,3171.5,6.4,2025-09-01,298092,Completed,9,"[""dolores"", ""itaque"", ""neque""]",Moore-Rodriguez,True
98,VH0007,Routine Service,2025-05-02,436118,752.67,3.9,2025-10-27,276240,In Progress,3,"[""perferendis""]","Jones, Friedman and Glenn",True
99,VH0007,Oil Change,2024-12-29,283688,102.96,6.2,2025-06-25,113244,In Progress,1,[],Collins Ltd,False
100,VH0007,Routine Service,2025-06-10,209348,669.48,1.4,2025-09-10,335778,Completed,6,[],Munoz LLC,False
101,VH0007,Tire Replacement,2025-05-17,457561,1928.3,5.2,2025-09-21,264809,In Progress,6,[],"Moran, Stevens and Harris",True
102,VH0007,Body Work,2025-09-17,410256,2529.47,7.3,2026-02-15,151141,In Progress,4,[],Brown-Ross,False
103,VH0008,Oil Change,2025-01-12,497731,55.19,6.7,2025-06-28,203865,Completed,6,"[""qui""]",Kent-Suarez,False
104,VH0008,Brake Service,2023-10-17,414871,502.39,7.0,2023-12-21,230710,In Progress,8,"[""repellat""]",Mclaughlin LLC,False
105,VH0008,Routine Service,2024-06-15,198600,656.69,1.5,2024-07-19,370038,Scheduled,3,"[""odit""]",Graves-Dawson,True
106,VH0008,Brake Service,2023-03-18,333506,535.22,5.3,2023-06-17,284624,Completed,8,"[""similique"", ""doloribus"", ""nesciunt""]",White PLC,True
107,VH0008,Engine Repair,2024-10-07,493817,6099.44,2.7,2025-01-26,206896,Scheduled,7,[],Cruz-Hopkins,False
108,VH0008,Transmission Service,2024-08-22,330593,4174.49,6.8,2025-02-09,351696,In Progress,1,[],Long Inc,True
109,VH0008,Body Work,2023-01-02,95998,2148.71,7.0,2023-04-12,415047,Scheduled,10,"[""dolore"", ""harum"", ""sunt""]","Carter, Hendricks and Wolfe",False
110,VH0008,Brake Service,2024-09-23,199086,1163.04,7.1,2025-02-24,486795,Completed,8,[],Kerr Group,False
111,VH0008,Transmission Service,2025-09-10,136473,1774.92,6.7,2025-12-23,72485,In Progress,3,"[""quod""]",Carney Inc,False
112,VH0008,Preventive Maintenance,2024-11-05,127903,388.83,4.3,2025-03-14,252983,Scheduled,7,"[""quae"", ""itaque""]",Hayes-King,True
113,VH0008,Body Work,2023-12-15,444755,918.13,6.9,2024-02-14,337624,In Progress,1,"[""officiis"", ""alias""]",Fowler Ltd,False
114,VH0008,Oil Change,2024-10-28,192695,100.85,7.1,2024-12-08,124413,Scheduled,8,"[""modi"", ""laboriosam"", ""natus""]",Sanders Inc,True
115,VH0008,Transmission Service,2023-01-16,124502,3443.18,5.5,2023-03-12,312429,Completed,4,"[""voluptatum"", ""deleniti"", ""itaque""]","Goodman, Washington and Jones",True
116,VH0008,Engine Repair,2024-02-09,160707,6004.81,6.7,2024-04-09,302583,Completed,9,"[""exercitationem""]","Dodson, Taylor and Hoover",False
117,VH0008,Body Work,2025-02-25,485782,2618.38,1.9,2025-07-26,169841,Completed,1,[],Roberson PLC,False
118,VH0008,Oil Change,2022-07-05,109891,110.0,6.0,2022-08-15,222126,In Progress,5,[],Martinez-Figueroa,True
119,VH0009,Electrical Repair,2024-09-30,483624,400.73,7.9,2024-11-06,212337,In Progress,2,"[""velit"", ""accusamus"", ""veritatis""]",Hernandez-Howard,True
120,VH0009,Body Work,2024-10-21,188295,1814.35,2.7,2025-03-24,463861,Completed,8,"[""aliquid"", ""veniam"", ""quibusdam""]",Ramos Inc,True
121,VH0009,Brake Service,2025-07-12,363400,939.01,5.3,2025-09-21,267173,Scheduled,10,"[""quasi"", ""temporibus"", ""ut""]","Keller, Garcia and Vaughn",False
122,VH0009,Preventive Maintenance,2025-01-26,498476,400.89,5.9,2025-05-01,69648,Scheduled,5,"[""sapiente"", ""ab""]",Barton and Sons,True
123,VH0009,Body Work,2025-08-20,380774,1222.59,4.7,2025-10-11,177398,In Progress,1,[],Kerr-Gonzalez,True
124,VH0009,Routine Service,2024-07-27,484701,493.34,4.5,2024-12-01,171025,Completed,2,"[""aliquam"", ""accusantium""]",Hoover-Frazier,False
125,VH0009,Routine Service,2024-08-16,198346,286.4,2.6,2024-11-21,366439,In Progress,1,[],Robles Ltd,True
126,VH0009,Routine Service,2024-09-30,414219,604.85,7.1,2025-01-26,185963,Scheduled,2,"[""doloremque"", ""aperiam"", ""nesciunt""]","Rodriguez, Murphy and Hart",False
127,VH0009,Tire Replacement,2024-10-09,396932,524.47,5.8,2024-12-03,200940,In Progress,1,"[""eos""]","Foster, Patterson and Hall",True
128,VH0009,Tire Replacement,2024-09-04,266614,1797.21,6.3,2024-10-05,417880,Scheduled,9,[],Thompson-Morales,False
129,VH0009,Body Work,2024-12-02,427593,1849.06,4.3,2025-05-07,108476,Scheduled,2,"[""molestias"", ""error"", ""officia""]",Jones LLC,True
130,VH0009,Engine Repair,2025-04-23,450746,5629.71,5.2,2025-08-20,483768,Completed,7,"[""maxime"", ""aperiam""]",Mcclure Group,True
131,VH0009,Tire Replacement,2024-11-26,57351,820.84,7.0,2024-12-26,332545,Completed,10,"[""sapiente"", ""praesentium"", ""corporis""]","Herrera, Mooney and Jefferson",True
132,VH0010,Brake Service,2025-03-28,476338,601.03,1.5,2025-08-15,166415,Scheduled,10,"[""consequatur""]","Nguyen, Mccoy and Price",False
133,VH0010,Body Work,2025-09-04,61406,755.87,3.8,2025-12-04,169919,Completed,9,[],"Anderson, Thompson and Gill",True
134,VH0010,Preventive Maintenance,2025-07-15,460911,150.51,4.7,2025-12-29,408751,In Progress,5,"[""vel"", ""perspiciatis"", ""atque""]",Smith-Barr,True
135,VH0010,Body Work,2025-05-26,481728,2533.84,1.1,2025-07-29,439863,Completed,8,"[""quaerat""]","Harmon, Gordon and Bush",True
136,VH0010,Tire Replacement,2025-02-22,474412,429.64,3.3,2025-06-21,205447,Completed,6,"[""adipisci"", ""sint"", ""cupiditate""]",Young-Patterson,True
137,VH0010,Oil Change,2025-04-12,83746,84.8,5.6,2025-05-17,170846,Scheduled,10,"[""beatae"", ""assumenda"", ""deserunt""]",Jimenez-Harris,False
138,VH0010,Body Work,2025-05-10,51654,1593.98,5.5,2025-06-13,204178,Scheduled,4,[],"Johnson, Mclean and George",False
139,VH0010,Transmission Service,2025-09-08,489805,3680.0,1.9,2025-12-16,120758,Scheduled,1,"[""iure""]",Ramirez Ltd,True
140,VH0010,Routine Service,2025-08-05,235554,258.54,2.1,2025-12-01,148502,Completed,8,[],Meyer Group,True
141,VH0010,Brake Service,2025-07-07,428994,1067.13,7.4,2025-12-21,460149,Completed,3,[],Christensen-Perez,True
142,VH0010,Transmission Service,2025-07-25,147502,4548.81,7.9,2025-09-29,122905,In Progress,2,"[""laboriosam""]",Harris Inc,False
143,VH0011,Tire Replacement,2025-07-29,304491,1034.14,2.2,2026-01-18,334191,Completed,5,"[""vel"", ""expedita""]","Horton, Walker and Salas",False
144,VH0011,Routine Service,2024-12-26,247193,560.58,1.4,2025-06-24,51949,Completed,6,"[""ducimus"", ""numquam""]","Smith, Kane and Jones",False
145,VH0011,Routine Service,2024-06-24,273592,559.83,4.5,2024-09-10,384943,Scheduled,2,"[""tempora""]",Mays and Sons,False
146,VH0011,Brake Service,2024-04-29,351376,534.61,7.4,2024-07-23,496819,Completed,2,[],"Dunn, Pope and Harris",False
147,VH0011,Transmission Service,2024-12-18,196315,3770.74,7.2,2025-03-14,160456,Completed,3,"[""nobis"", ""omnis""]",Martin-Gonzalez,False
148,VH0011,Preventive Maintenance,2024-11-01,166631,299.18,7.9,2025-03-24,258441,Completed,6,"[""sequi""]",Turner PLC,False
149,VH0011,Oil Change,2024-11-15,244013,138.95,6.8,2025-03-02,54069,Scheduled,2,"[""tempora"", ""eligendi"", ""fugit""]",Miller-Kaufman,False
150,VH0011,Transmission Service,2024-10-18,478638,1834.3,7.0,2025-03-02,265467,In Progress,2,"[""doloremque""]",Alexander-Wagner,False
151,VH0011,Engine Repair,2025-04-24,133198,5437.44,6.0,2025-09-06,118540,In Progress,7,"[""dolor"", ""perspiciatis""]",Gill Group,True
152,VH0011,Routine Service,2025-06-30,370954,663.73,4.8,2025-10-31,249177,Completed,9,"[""in"", ""saepe""]","Hernandez, Barber and Scott",True
153,VH0011,Preventive Maintenance,2024-11-23,487765,285.71,2.5,2025-04-17,230008,Completed,1,[],Campbell-Hart,True
154,VH0011,Preventive Maintenance,2024-12-03,240738,220.66,5.2,2025-05-31,266952,In Progress,2,"[""iusto""]",Espinoza and Sons,False
155,VH0011,Routine Service,2024-06-03,379952,330.92,1.5,2024-08-05,417617,In Progress,7,"[""eaque""]",Smith PLC,True
156,VH0012,Engine Repair,2025-06-15,338322,7891.26,2.1,2025-10-27,437575,In Progress,6,[],Henry-Frost,False
157,VH0012,Oil Change,2025-08-29,84509,80.16,5.3,2026-02-01,319902,In Progress,5,"[""minima"", ""molestiae""]",Parker-Archer,True
158,VH0012,Brake Service,2024-10-22,289997,656.08,3.4,2025-04-04,447569,Scheduled,3,[],Riddle Inc,True
159,VH0012,Tire Replacement,2025-02-11,313243,1133.26,7.5,2025-05-04,147842,In Progress,5,[],"Martin, Hines and Krueger",True
160,VH0012,Engine Repair,2025-06-30,416342,3999.38,6.2,2025-10-26,53419,Scheduled,4,"[""laudantium"", ""quaerat""]","Burns, Barker and Horton",False
161,VH0012,Tire Replacement,2025-05-18,410744,1043.2,1.0,2025-09-26,212542,Scheduled,6,"[""nisi"", ""expedita"", ""exercitationem""]",Johnson-Li,False
162,VH0012,Body Work,2025-05-10,310877,1906.24,2.7,2025-06-26,149547,Completed,4,[],"Johnson, Wade and Hernandez",True
163,VH0012,Electrical Repair,2025-05-01,241273,936.5,7.5,2025-09-17,292024,In Progress,2,"[""vero"", ""dignissimos""]",Wright-Lane,False
164,VH0012,Body Work,2025-05-22,79794,963.55,6.9,2025-09-15,313734,Scheduled,9,"[""dolorem"", ""accusantium"", ""cum""]",Newman Group,False
165,VH0012,Engine Repair,2025-02-16,188534,1288.86,2.0,2025-05-15,358629,In Progress,4,[],"Mccann, Miller and Kent",True
166,VH0012,Electrical Repair,2025-08-06,400781,577.07,4.7,2026-01-01,153484,Completed,10,"[""doloremque"", ""nobis""]",Holt-Mason,True
167,VH0012,Electrical Repair,2025-04-05,450240,1247.17,6.8,2025-05-31,460969,Completed,10,[],Willis-Gross,True
168,VH0012,Preventive Maintenance,2025-06-23,380972,322.61,1.3,2025-12-14,441674,Scheduled,8,"[""commodi"", ""corrupti""]","Armstrong, Salinas and Olsen",False
169,VH0012,Oil Change,2025-01-01,262666,103.29,5.4,2025-05-23,220628,In Progress,3,[],Conrad Group,True
170,VH0012,Brake Service,2025-06-04,365147,1002.62,7.3,2025-11-24,160226,In Progress,6,[],Benitez Group,True
171,VH0012,Transmission Service,2024-09-27,104332,3999.03,1.4,2025-01-26,52635,Completed,9,"[""atque"", ""voluptatem"", ""nesciunt""]","Butler, Roberts and Jordan",False
172,VH0012,Brake Service,2024-11-29,443585,326.65,4.7,2025-03-23,307667,Scheduled,6,"[""ea"", ""voluptatibus""]",Gonzalez and Sons,True
173,VH0012,Electrical Repair,2025-03-25,310953,812.27,3.3,2025-09-21,398874,In Progress,1,"[""culpa"", ""odio""]","Olsen, Lopez and Brown",True
174,VH0012,Preventive Maintenance,2024-12-01,359505,317.86,6.6,2025-05-20,360241,In Progress,8,[],Green Group,False
175,VH0013,Transmission Service,2024-10-31,328369,2064.75,6.9,2025-04-07,458200,In Progress,9,"[""soluta"", ""corrupti"", ""tempora""]",Miller Inc,True
176,VH0013,Engine Repair,2024-09-24,278188,3968.71,2.9,2024-11-03,357032,Scheduled,7,[],Brown-Johnson,False
177,VH0013,Electrical Repair,2024-07-03,154082,1070.46,7.3,2024-10-07,412953,Scheduled,10,"[""placeat""]","Hodges, Smith and Adams",False
178,VH0013,Transmission Service,2025-08-25,110348,3087.73,3.5,2025-12-27,207934,Completed,8,"[""vel"", ""reprehenderit"", ""animi""]",Clark Inc,True
179,VH0013,Engine Repair,2024-09-23,488232,3482.78,3.8,2025-03-20,143080,In Progress,5,[],"Hatfield, Juarez and Frederick",False
180,VH0013,Brake Service,2024-11-19,314742,1037.35,5.6,2025-04-28,72336,Completed,6,[],Munoz-Rogers,True
181,VH0013,Preventive Maintenance,2025-03-19,129928,447.89,7.5,2025-08-14,190836,Completed,4,[],Key-Montoya,False
182,VH0013,Engine Repair,2025-08-16,94449,2217.86,2.9,2026-01-22,100406,Scheduled,2,"[""vel"", ""natus""]",Bishop-Hester,True
183,VH0013,Preventive Maintenance,2025-07-08,283829,406.72,1.1,2025-08-23,401528,Completed,9,"[""consequuntur"", ""a"", ""odit""]","Morales, Houston and Buckley",False
184,VH0013,Body Work,2024-03-04,469083,1525.84,5.5,2024-07-20,273911,Scheduled,7,[],Melton LLC,False
185,VH0013,Tire Replacement,2025-08-22,124000,1748.64,5.9,2025-10-05,55061,Completed,4,"[""expedita"", ""maxime"", ""odio""]","Parks, Kane and Robertson",False
