weather_id,location_id,date,hour,temperature_f,temperature_c,humidity_pct,wind_speed_mph,wind_direction_degrees,precipitation_mm,visibility_miles,weather_condition,weather_description,pressure_inhg,uv_index,sunrise_time,sunset_time,created_at,_loaded_at
33,225,2025-08-20,3,54.4,12.4,93,18.8,40,49.8,36.5,STORM,Overcast,30.05,9,06:00:00,18:00:00,2025-09-07 16:28:26.256708,2025-09-20 09:13:41.575269
34,129,2025-08-20,3,49.4,9.7,61,0.2,138,0.0,29.9,PARTLY_CLOUDY,Heavy rain,29.59,5,06:00:00,18:00:00,2025-09-08 02:55:48.379718,2025-09-20 16:25:01.784178
35,3,2025-08-20,3,45.9,7.7,53,26.7,352,0.0,43.6,CLEAR,Thunderstorm,30.41,11,06:00:00,18:00:00,2025-09-16 18:56:16.144476,2025-09-20 13:13:28.702767
36,212,2025-08-20,3,67.0,19.4,34,5.0,13,0.0,16.6,HEAVY_RAIN,Clear skies,29.61,2,06:00:00,18:00:00,2025-09-19 21:31:42.825051,2025-09-19 23:11:08.622583
37,238,2025-08-20,3,56.6,13.7,84,0.3,16,1.6,19.0,HEAVY_RAIN,Overcast,30.15,11,06:00:00,18:00:00,2025-09-10 06:59:30.722204,2025-09-20 13:03:52.480917
38,38,2025-08-20,3,63.5,17.5,37,25.2,309,7.6,38.3,PARTLY_CLOUDY,Overcast,30.3,4,06:00:00,18:00:00,2025-08-27 20:40:53.104817,2025-09-20 08:21:40.724129
39,97,2025-08-20,3,44.9,7.2,90,4.3,51,0.0,43.0,PARTLY_CLOUDY,Thunderstorm,30.34,4,06:00:00,18:00:00,2025-09-11 06:43:20.367138,2025-09-20 14:28:12.384535
40,102,2025-08-20,3,47.4,8.6,71,18.9,276,17.7,21.5,STORM,Foggy,30.45,1,06:00:00,18:00:00,2025-09-04 12:01:34.255851,2025-09-20 07:38:47.359308
41,140,2025-08-20,4,56.9,13.8,32,15.8,301,1.5,48.9,STORM,Heavy rain,30.25,4,06:00:00,18:00:00,2025-09-02 20:19:04.549142,2025-09-20 05:27:08.076643
42,204,2025-08-20,4,58.4,14.7,39,24.6,202,0.0,44.4,RAIN,Partly cloudy,30.3,1,06:00:00,18:00:00,2025-08-28 22:02:36.090323,2025-09-20 18:06:41.188400
43,82,2025-08-20,4,66.8,19.4,66,11.6,89,44.2,10.0,CLEAR,Foggy,30.41,7,06:00:00,18:00:00,2025-08-26 01:07:40.088659,2025-09-20 15:26:03.509156
44,126,2025-08-20,4,47.6,8.7,93,26.1,356,0.0,27.2,LIGHT_RAIN,Thunderstorm,30.17,5,06:00:00,18:00:00,2025-09-20 16:01:31.426999,2025-09-19 21:09:45.817377
45,102,2025-08-20,4,63.3,17.4,41,2.5,73,36.1,26.4,CLOUDY,Overcast,30.37,7,06:00:00,18:00:00,2025-09-18 19:49:49.333460,2025-09-19 21:09:35.717117
46,166,2025-08-20,4,41.8,5.4,47,11.1,6,3.9,27.9,HEAVY_RAIN,Overcast,29.61,2,06:00:00,18:00:00,2025-09-20 09:19:18.360422,2025-09-20 04:52:20.863595
47,98,2025-08-20,4,64.5,18.1,35,6.0,87,0.0,38.8,STORM,Thunderstorm,30.35,3,06:00:00,18:00:00,2025-09-10 03:10:46.633927,2025-09-20 18:14:17.428533
48,197,2025-08-20,4,54.0,12.2,34,15.1,262,0.0,40.6,HEAVY_RAIN,Clear skies,29.55,3,06:00:00,18:00:00,2025-08-29 07:43:48.288955,2025-09-20 15:05:45.720628
49,29,2025-08-20,4,44.5,7.0,92,26.2,321,0.0,16.4,PARTLY_CLOUDY,Foggy,30.45,1,06:00:00,18:00:00,2025-08-29 23:26:35.458051,2025-09-19 19:33:42.059547
50,76,2025-08-20,4,56.6,13.7,53,25.1,133,0.0,17.8,LIGHT_RAIN,Partly cloudy,29.74,4,06:00:00,18:00:00,2025-09-11 09:20:28.120289,2025-09-19 20:30:48.239711
51,198,2025-08-20,5,54.8,12.6,84,10.1,22,0.0,10.0,CLEAR,Overcast,30.31,10,06:00:00,18:00:00,2025-09-17 07:31:08.363115,2025-09-20 01:06:31.575174
52,206,2025-08-20,5,48.4,9.1,43,21.7,42,0.0,17.5,CLOUDY,Overcast,30.19,5,06:00:00,18:00:00,2025-09-05 15:25:30.561808,2025-09-20 17:09:45.703341
53,171,2025-08-20,5,56.1,13.4,87,6.0,337,0.0,37.3,PARTLY_CLOUDY,Foggy,29.8,4,06:00:00,18:00:00,2025-08-25 19:01:36.731943,2025-09-20 14:17:36.138778
54,208,2025-08-20,5,54.6,12.6,40,3.4,341,0.0,39.2,STORM,Clear skies,30.5,6,06:00:00,18:00:00,2025-08-27 22:56:33.049172,2025-09-20 07:04:43.634243
55,188,2025-08-20,5,53.3,11.8,38,1.6,307,21.9,8.2,CLEAR,Partly cloudy,29.89,0,06:00:00,18:00:00,2025-09-18 07:55:14.555508,2025-09-20 06:43:23.914720
56,144,2025-08-20,5,42.7,5.9,88,27.0,273,1.6,40.0,RAIN,Clear skies,30.06,3,06:00:00,18:00:00,2025-09-15 06:48:51.155387,2025-09-20 06:59:20.045349
57,46,2025-08-20,5,58.9,14.9,68,16.0,304,0.0,7.2,LIGHT_RAIN,Overcast,30.2,5,06:00:00,18:00:00,2025-08-29 04:59:48.456043,2025-09-20 08:08:36.265673
58,33,2025-08-20,5,55.4,13.0,73,23.8,23,0.0,15.0,CLOUDY,Partly cloudy,30.32,2,06:00:00,18:00:00,2025-08-24 02:09:33.877646,2025-09-20 02:24:57.469874
59,240,2025-08-20,5,56.3,13.5,81,20.5,199,48.3,16.0,RAIN,Light rain,30.09,2,06:00:00,18:00:00,2025-08-31 00:37:37.360909,2025-09-20 09:01:32.045413
60,229,2025-08-20,5,46.5,8.1,73,8.5,8,0.0,32.8,PARTLY_CLOUDY,Heavy rain,30.12,2,06:00:00,18:00:00,2025-09-04 13:59:36.079217,2025-09-20 11:55:28.357344
61,99,2025-08-20,6,46.4,8.0,59,25.5,226,0.0,23.5,HEAVY_RAIN,Thunderstorm,29.57,2,06:00:00,18:00:00,2025-09-19 02:42:04.200036,2025-09-20 08:27:53.623726
62,94,2025-08-20,6,65.1,18.4,35,13.1,187,0.0,23.2,STORM,Thunderstorm,29.98,6,06:00:00,18:00:00,2025-08-26 08:55:20.735737,2025-09-20 07:38:08.199002
63,120,2025-08-20,6,41.5,5.3,78,2.2,161,0.0,19.5,STORM,Heavy rain,29.95,7,06:00:00,18:00:00,2025-08-22 06:26:26.379512,2025-09-20 00:17:39.388461
64,157,2025-08-20,6,54.5,12.5,77,0.3,15,0.0,26.9,PARTLY_CLOUDY,Overcast,30.48,2,06:00:00,18:00:00,2025-08-30 05:57:27.221629,2025-09-19 22:48:05.001689
65,80,2025-08-20,6,53.6,12.0,52,6.9,63,0.0,27.6,RAIN,Heavy rain,30.28,3,06:00:00,18:00:00,2025-08-30 09:53:03.446892,2025-09-20 00:17:29.867032
66,19,2025-08-20,6,62.8,17.1,69,21.6,174,0.0,22.7,FOG,Thunderstorm,29.65,0,06:00:00,18:00:00,2025-09-01 08:30:15.772559,2025-09-20 13:08:01.252371
67,91,2025-08-20,6,59.4,15.2,81,16.9,259,41.0,47.4,FOG,Thunderstorm,30.21,7,06:00:00,18:00:00,2025-08-26 05:05:56.771725,2025-09-20 14:05:41.813470
68,13,2025-08-20,6,57.4,14.1,82,5.8,353,0.0,11.5,CLOUDY,Heavy rain,29.69,0,06:00:00,18:00:00,2025-09-06 17:41:46.668310,2025-09-20 00:58:01.205807
69,108,2025-08-20,6,50.9,10.5,52,5.6,305,0.0,44.9,FOG,Clear skies,29.54,3,06:00:00,18:00:00,2025-08-27 15:05:38.017578,2025-09-20 08:07:49.032536
70,201,2025-08-20,6,56.0,13.3,62,27.4,271,0.0,5.3,HEAVY_RAIN,Heavy rain,30.43,2,06:00:00,18:00:00,2025-09-02 02:40:04.814351,2025-09-20 12:21:54.430316
71,90,2025-08-20,7,54.6,12.6,47,27.7,45,0.0,48.3,HEAVY_RAIN,Clear skies,30.14,4,06:00:00,18:00:00,2025-08-30 08:00:50.121288,2025-09-20 01:43:29.638318
72,75,2025-08-20,7,46.1,7.8,33,6.9,160,0.0,44.5,STORM,Light rain,30.08,4,06:00:00,18:00:00,2025-08-25 04:09:47.266628,2025-09-19 19:42:56.725736
73,133,2025-08-20,7,53.1,11.7,78,26.8,234,0.0,34.1,PARTLY_CLOUDY,Thunderstorm,30.47,4,06:00:00,18:00:00,2025-08-22 04:08:25.541436,2025-09-20 05:35:00.883647
74,57,2025-08-20,7,53.5,12.0,89,22.7,75,0.0,20.5,RAIN,Foggy,29.7,6,06:00:00,18:00:00,2025-09-12 19:35:09.829881,2025-09-20 05:25:49.435580
75,209,2025-08-20,7,64.5,18.1,40,29.5,224,0.0,30.8,HEAVY_RAIN,Thunderstorm,29.53,2,06:00:00,18:00:00,2025-08-30 17:24:57.431592,2025-09-20 09:09:33.877154
76,176,2025-08-20,7,42.1,5.6,37,23.6,110,0.0,42.2,STORM,Partly cloudy,30.49,4,06:00:00,18:00:00,2025-09-05 08:11:49.540085,2025-09-20 13:55:34.260922
77,114,2025-08-20,7,55.9,13.3,30,28.4,101,0.0,40.1,LIGHT_RAIN,Light rain,30.49,2,06:00:00,18:00:00,2025-09-03 18:31:13.537923,2025-09-20 09:00:20.349880
78,185,2025-08-20,7,56.1,13.4,47,25.4,295,11.1,36.2,LIGHT_RAIN,Overcast,29.84,1,06:00:00,18:00:00,2025-09-08 05:28:09.418230,2025-09-20 08:35:41.084975
79,151,2025-08-20,7,54.6,12.6,92,25.1,324,0.0,5.9,PARTLY_CLOUDY,Foggy,30.24,7,06:00:00,18:00:00,2025-09-17 20:37:27.475847,2025-09-20 09:57:15.241611
80,200,2025-08-20,7,60.1,15.6,62,7.1,85,43.6,36.3,LIGHT_RAIN,Clear skies,29.82,9,06:00:00,18:00:00,2025-09-15 12:52:29.202168,2025-09-20 07:54:28.056385
81,51,2025-08-20,8,49.4,9.6,50,24.2,192,9.8,23.5,HEAVY_RAIN,Light rain,30.2,8,06:00:00,18:00:00,2025-09-10 04:36:33.158623,2025-09-20 14:46:39.395578
82,55,2025-08-20,8,41.7,5.4,48,26.8,346,0.0,25.0,LIGHT_RAIN,Overcast,29.64,9,06:00:00,18:00:00,2025-09-08 17:48:07.836210,2025-09-20 06:21:26.671080
83,155,2025-08-20,8,52.7,11.5,63,8.6,64,0.0,44.7,RAIN,Overcast,30.43,4,06:00:00,18:00:00,2025-08-31 15:57:09.639204,2025-09-20 07:28:30.405377
84,216,2025-08-20,8,41.9,5.5,32,4.4,86,6.0,40.0,HEAVY_RAIN,Foggy,29.82,3,06:00:00,18:00:00,2025-08-27 00:56:56.306891,2025-09-20 10:36:15.614345
85,196,2025-08-20,8,63.6,17.6,91,4.4,245,21.5,32.7,FOG,Partly cloudy,29.91,8,06:00:00,18:00:00,2025-08-21 21:44:13.841648,2025-09-20 13:43:52.058437
86,80,2025-08-20,8,43.6,6.4,35,27.2,286,29.9,21.5,RAIN,Partly cloudy,30.48,3,06:00:00,18:00:00,2025-08-30 03:25:18.249080,2025-09-20 15:46:37.690730
87,229,2025-08-20,8,58.2,14.6,65,12.0,219,0.0,7.1,STORM,Partly cloudy,29.55,0,06:00:00,18:00:00,2025-09-13 20:08:33.096447,2025-09-20 12:51:39.950408
88,231,2025-08-20,8,41.6,5.3,30,28.4,337,0.0,43.5,RAIN,Heavy rain,30.41,4,06:00:00,18:00:00,2025-09-03 20:32:47.718640,2025-09-20 08:53:22.584505
89,124,2025-08-20,8,61.4,16.3,73,22.9,197,0.0,13.6,STORM,Light rain,30.28,9,06:00:00,18:00:00,2025-09-03 10:04:47.809311,2025-09-20 08:13:18.553013
90,167,2025-08-20,8,51.7,10.9,43,11.4,252,0.0,17.2,PARTLY_CLOUDY,Heavy rain,30.14,9,06:00:00,18:00:00,2025-09-13 17:41:52.918723,2025-09-19 19:42:01.612237
91,144,2025-08-20,9,55.6,13.1,54,10.4,230,0.0,44.8,CLEAR,Heavy rain,30.11,11,06:00:00,18:00:00,2025-09-20 00:23:43.317029,2025-09-20 09:09:14.628443
92,79,2025-08-20,9,58.9,14.9,78,18.1,347,0.0,45.6,PARTLY_CLOUDY,Thunderstorm,30.4,10,06:00:00,18:00:00,2025-08-25 06:57:50.313905,2025-09-19 22:21:55.900674
93,108,2025-08-20,9,64.5,18.1,52,7.4,310,0.0,17.5,STORM,Thunderstorm,30.29,9,06:00:00,18:00:00,2025-09-15 04:01:27.653900,2025-09-20 04:24:51.865750
94,93,2025-08-20,9,67.0,19.4,42,25.1,308,25.6,32.4,PARTLY_CLOUDY,Light rain,30.19,4,06:00:00,18:00:00,2025-08-30 18:56:01.956714,2025-09-20 13:51:21.797802
95,129,2025-08-20,9,52.9,11.6,58,23.6,265,0.0,20.9,STORM,Partly cloudy,30.24,3,06:00:00,18:00:00,2025-09-09 14:11:17.394783,2025-09-20 01:48:44.086490
96,48,2025-08-20,9,43.1,6.2,45,15.8,308,0.0,24.6,HEAVY_RAIN,Overcast,29.63,1,06:00:00,18:00:00,2025-08-30 07:26:02.984800,2025-09-20 07:51:38.194334
97,222,2025-08-20,9,42.7,5.9,38,9.8,212,0.0,9.2,HEAVY_RAIN,Thunderstorm,30.13,11,06:00:00,18:00:00,2025-08-27 20:20:22.569497,2025-09-19 23:04:44.417052
98,217,2025-08-20,9,43.7,6.5,65,9.1,334,11.8,15.6,LIGHT_RAIN,Heavy rain,29.92,9,06:00:00,18:00:00,2025-08-28 12:19:22.547038,2025-09-19 21:56:43.619738
99,63,2025-08-20,9,56.3,13.5,32,2.5,277,0.0,45.3,STORM,Heavy rain,30.38,10,06:00:00,18:00:00,2025-08-22 16:40:09.544383,2025-09-19 23:58:07.763226
100,142,2025-08-20,9,67.1,19.5,31,14.0,353,0.0,21.2,RAIN,Clear skies,29.87,7,06:00:00,18:00:00,2025-09-04 22:50:49.786245,2025-09-19 19:21:49.100673
101,231,2025-08-20,10,65.2,18.4,47,10.6,18,0.0,7.7,CLOUDY,Partly cloudy,30.06,1,06:00:00,18:00:00,2025-09-12 17:59:26.285491,2025-09-20 06:33:02.101493
102,150,2025-08-20,10,48.7,9.3,78,22.3,295,0.0,5.8,CLOUDY,Light rain,29.74,3,06:00:00,18:00:00,2025-09-07 17:24:15.390492,2025-09-20 15:02:29.366006
103,172,2025-08-20,10,60.0,15.6,39,8.3,5,10.2,20.4,HEAVY_RAIN,Partly cloudy,29.99,11,06:00:00,18:00:00,2025-09-14 13:56:19.133904,2025-09-20 07:34:55.388317
104,182,2025-08-20,10,57.8,14.3,30,0.7,220,0.0,18.1,PARTLY_CLOUDY,Partly cloudy,30.17,0,06:00:00,18:00:00,2025-08-29 14:32:16.889740,2025-09-20 04:27:43.877009
105,75,2025-08-20,10,56.5,13.6,42,25.7,35,21.9,42.2,STORM,Clear skies,30.04,6,06:00:00,18:00:00,2025-08-21 22:18:49.394954,2025-09-20 03:57:47.920047
106,157,2025-08-20,10,54.7,12.6,81,6.3,26,0.0,29.0,STORM,Foggy,29.89,0,06:00:00,18:00:00,2025-09-13 09:35:51.997365,2025-09-20 05:25:52.112626
107,4,2025-08-20,10,66.3,19.1,58,19.3,244,0.0,13.2,STORM,Thunderstorm,29.76,5,06:00:00,18:00:00,2025-08-25 11:53:36.186285,2025-09-20 04:30:49.912442
108,41,2025-08-20,10,62.8,17.1,75,20.7,224,0.0,49.8,RAIN,Overcast,30.36,9,06:00:00,18:00:00,2025-08-31 01:38:41.311718,2025-09-20 17:45:22.917335
109,71,2025-08-20,10,57.2,14.0,50,6.8,75,24.4,25.7,STORM,Partly cloudy,29.84,2,06:00:00,18:00:00,2025-09-05 22:53:50.370706,2025-09-19 22:29:22.674442
110,14,2025-08-20,10,47.5,8.6,72,29.3,21,11.8,21.1,HEAVY_RAIN,Heavy rain,29.83,9,06:00:00,18:00:00,2025-09-12 20:39:21.467046,2025-09-20 16:59:54.434470
111,42,2025-08-20,11,43.8,6.6,38,29.7,334,0.0,6.1,RAIN,Clear skies,30.03,0,06:00:00,18:00:00,2025-09-04 02:37:10.101799,2025-09-20 17:31:49.434480
112,185,2025-08-20,11,47.8,8.8,77,14.8,312,32.8,36.0,CLOUDY,Overcast,29.53,8,06:00:00,18:00:00,2025-09-15 15:24:25.067123,2025-09-19 19:03:21.962717
113,150,2025-08-20,11,64.2,17.9,48,20.6,305,0.0,6.1,PARTLY_CLOUDY,Clear skies,30.45,7,06:00:00,18:00:00,2025-09-12 23:57:26.749842,2025-09-20 07:09:13.357097
114,28,2025-08-20,11,52.2,11.2,91,3.5,93,0.0,25.7,RAIN,Light rain,30.32,11,06:00:00,18:00:00,2025-09-16 01:22:14.252202,2025-09-20 15:53:23.527134
115,165,2025-08-20,11,62.6,17.0,51,17.4,221,0.0,39.0,FOG,Overcast,29.74,0,06:00:00,18:00:00,2025-09-16 06:26:48.102951,2025-09-20 13:16:47.296482
116,167,2025-08-20,11,52.8,11.5,90,16.9,176,48.7,30.4,LIGHT_RAIN,Partly cloudy,29.63,5,06:00:00,18:00:00,2025-09-07 22:41:41.132239,2025-09-20 12:08:43.354937
117,234,2025-08-20,11,66.7,19.3,84,11.1,171,0.0,18.4,HEAVY_RAIN,Heavy rain,29.87,3,06:00:00,18:00:00,2025-09-10 23:09:03.841534,2025-09-20 14:00:06.820019
118,179,2025-08-20,11,53.4,11.9,95,17.9,214,0.0,10.5,CLOUDY,Partly cloudy,30.23,11,06:00:00,18:00:00,2025-09-16 04:02:01.153280,2025-09-20 07:38:54.665742
119,138,2025-08-20,11,44.2,6.8,45,27.8,212,0.0,46.9,CLEAR,Foggy,29.86,11,06:00:00,18:00:00,2025-09-01 15:21:09.886593,2025-09-20 12:12:23.397608
120,125,2025-08-20,11,56.6,13.7,56,23.3,215,0.0,13.8,LIGHT_RAIN,Thunderstorm,30.19,3,06:00:00,18:00:00,2025-09-04 10:43:07.365224,2025-09-20 13:47:16.833112
121,228,2025-08-20,12,48.9,9.4,70,19.4,165,0.0,33.6,HEAVY_RAIN,Light rain,30.29,2,06:00:00,18:00:00,2025-08-25 22:44:11.070929,2025-09-20 04:53:24.141189
122,233,2025-08-20,12,59.7,15.4,49,11.5,290,24.1,14.0,LIGHT_RAIN,Clear skies,30.25,10,06:00:00,18:00:00,2025-09-03 23:42:36.508234,2025-09-20 18:28:41.626831
123,2,2025-08-20,12,48.9,9.4,73,16.6,70,0.0,8.0,RAIN,Foggy,29.7,4,06:00:00,18:00:00,2025-09-20 01:58:03.456299,2025-09-20 04:57:27.777836
124,89,2025-08-20,12,42.4,5.8,82,2.6,267,0.0,34.8,PARTLY_CLOUDY,Partly cloudy,30.22,11,06:00:00,18:00:00,2025-09-06 12:47:51.600547,2025-09-19 18:55:01.508592
125,23,2025-08-20,12,48.0,8.9,81,29.7,212,0.0,25.5,FOG,Light rain,30.35,8,06:00:00,18:00:00,2025-09-17 03:53:46.935473,2025-09-20 13:58:30.453882
126,213,2025-08-20,12,43.0,6.1,55,14.7,19,0.0,33.3,LIGHT_RAIN,Clear skies,29.54,8,06:00:00,18:00:00,2025-08-24 00:07:09.924244,2025-09-20 16:52:39.154581
127,225,2025-08-20,12,55.6,13.1,77,24.5,94,48.9,33.6,PARTLY_CLOUDY,Partly cloudy,29.95,1,06:00:00,18:00:00,2025-09-12 08:31:56.467561,2025-09-20 15:32:27.476863
128,6,2025-08-20,12,61.2,16.2,30,5.6,121,37.7,40.7,RAIN,Clear skies,29.94,4,06:00:00,18:00:00,2025-08-30 02:57:18.811876,2025-09-20 18:33:40.004939
129,110,2025-08-20,12,61.8,16.5,72,20.4,183,32.4,7.7,LIGHT_RAIN,Light rain,30.09,4,06:00:00,18:00:00,2025-09-12 21:19:18.040298,2025-09-20 17:15:26.014215
130,173,2025-08-20,12,62.7,17.0,52,5.4,270,42.6,35.0,PARTLY_CLOUDY,Clear skies,30.26,3,06:00:00,18:00:00,2025-09-02 06:49:14.835839,2025-09-19 21:56:01.347468
131,161,2025-08-20,13,58.2,14.5,88,2.5,87,0.0,38.7,STORM,Clear skies,30.36,10,06:00:00,18:00:00,2025-09-20 11:14:02.607235,2025-09-20 06:29:38.317730
132,222,2025-08-20,13,67.2,19.5,81,27.8,267,17.7,7.5,PARTLY_CLOUDY,Thunderstorm,29.78,2,06:00:00,18:00:00,2025-09-05 03:27:48.456627,2025-09-19 21:19:13.584150
133,121,2025-08-20,13,43.6,6.5,78,9.0,138,20.1,21.3,FOG,Heavy rain,30.3,0,06:00:00,18:00:00,2025-09-03 15:59:49.966775,2025-09-20 01:56:54.467487
134,22,2025-08-20,13,47.4,8.6,34,24.1,156,11.4,6.9,FOG,Clear skies,30.41,10,06:00:00,18:00:00,2025-09-09 23:50:50.869160,2025-09-20 14:33:07.676602
135,186,2025-08-20,13,52.9,11.6,62,10.9,357,0.0,9.3,CLOUDY,Heavy rain,29.92,9,06:00:00,18:00:00,2025-08-28 09:28:55.742707,2025-09-20 14:55:39.128849
