customer_id,customer_name,customer_type,volume_segment,industry,preferred_delivery_window,service_level,credit_rating,payment_terms,signup_date,last_order_date,total_lifetime_value,average_order_value,delivery_flexibility_score,satisfaction_score
21,"Higgins, Malone and Brennan",Individual,Low Volume,Healthcare,Afternoon,Standard,Excellent,Net 15,2025-07-30,2025-07-31,8415.3,3960.42,3.1,7.3
22,"Cohen, Mitchell and Perez",Enterprise,Medium Volume,Manufacturing,Any,Premium,Excellent,Net 30,2022-12-02,2023-03-04,238646.74,3901.18,5.6,6.4
23,"Padilla, Garcia and Jackson",Individual,Low Volume,Retail,Evening,Express,Excellent,Net 30,2025-08-26,2025-09-02,499294.79,4244.13,4.8,6.4
24,Flynn-Carter,SME,Low Volume,Retail,Morning,Express,Good,Net 30,2022-10-20,2023-11-23,63969.6,3140.37,6.3,8.8
25,"Jenkins, Maldonado and White",Individual,Medium Volume,Food & Beverage,Evening,Express,Poor,Net 30,2023-02-25,2023-08-08,396754.95,616.35,6.9,9.5
26,Harvey-Allen,Enterprise,Low Volume,Technology,Any,Standard,Poor,COD,2024-07-18,2025-08-12,413882.19,2023.71,7.6,7.3
27,Little-Stevens,SME,Medium Volume,Healthcare,Afternoon,Premium,Poor,Net 30,2023-02-22,2024-11-09,46521.17,472.55,4.9,9.0
28,Santana-Byrd,Enterprise,Medium Volume,Food & Beverage,Morning,Premium,Fair,Net 30,2025-05-31,2025-06-17,205993.51,4374.36,9.5,7.7
29,Huerta-Evans,Enterprise,Low Volume,Healthcare,Evening,Express,Excellent,Net 15,2024-01-16,2025-08-26,78210.36,2436.84,8.6,7.4
30,Bruce-Gonzalez,Enterprise,Low Volume,Healthcare,Afternoon,Express,Excellent,COD,2024-10-14,2025-02-21,15447.64,1402.69,7.9,9.7
31,James LLC,Enterprise,Medium Volume,Manufacturing,Any,Standard,Good,Net 30,2024-03-01,2025-01-20,46787.08,2675.89,4.4,7.8
32,Johnson-Greer,SME,Medium Volume,Automotive,Evening,Premium,Excellent,Net 30,2025-09-10,2025-09-13,78634.37,3784.46,1.4,6.3
33,"Osborne, Beltran and Lozano",SME,Low Volume,Technology,Any,Express,Fair,Net 15,2022-09-27,2024-12-15,377716.63,613.4,4.9,7.1
34,Parsons-Hall,SME,Low Volume,Food & Beverage,Evening,Standard,Good,Prepaid,2025-03-19,2025-08-13,492238.38,321.17,2.8,9.8
35,Oliver Ltd,SME,Low Volume,Healthcare,Evening,Standard,Excellent,Prepaid,2023-05-17,2025-02-21,373760.05,919.69,4.4,8.8
36,"Massey, Fuller and Berger",Individual,Low Volume,Healthcare,Morning,Express,Excellent,Prepaid,2025-01-07,2025-06-20,10352.03,4609.75,8.8,8.3
37,Johnson-Diaz,Individual,Low Volume,Automotive,Any,Express,Excellent,Prepaid,2023-08-23,2023-11-30,11407.42,1657.6,8.2,8.5
38,Burgess-Thompson,SME,Low Volume,Retail,Any,Standard,Good,Prepaid,2025-06-11,2025-06-24,294846.77,2643.61,4.6,7.2
39,Schmidt-Mcintyre,SME,Medium Volume,Manufacturing,Morning,Premium,Excellent,Net 15,2024-05-02,2025-06-25,453055.44,1779.41,7.5,9.3
40,Coffey-Phillips,Enterprise,Low Volume,Retail,Afternoon,Express,Good,Net 15,2023-06-27,2025-06-05,301597.09,3813.07,6.9,6.7
41,Mccarty-Taylor,SME,Low Volume,Technology,Any,Premium,Fair,COD,2025-02-16,2025-09-11,76327.74,388.02,5.0,7.2
42,"Craig, Sanders and Singleton",Enterprise,Medium Volume,Healthcare,Morning,Express,Poor,Prepaid,2025-04-18,2025-07-12,19766.02,1875.25,3.6,8.6
43,Smith-Herrera,Enterprise,Low Volume,Food & Beverage,Any,Express,Excellent,Prepaid,2022-12-26,2024-03-23,454615.93,2879.7,2.7,8.4
44,"Baker, James and Little",Enterprise,Low Volume,Technology,Morning,Express,Excellent,Net 15,2024-09-25,2025-02-05,20531.92,3552.73,9.9,8.1
45,Johnson-Henson,SME,Low Volume,Healthcare,Evening,Express,Poor,COD,2024-09-27,2025-04-15,339769.96,309.21,6.7,7.3
46,Holland Ltd,Individual,Medium Volume,Automotive,Any,Express,Fair,Net 15,2025-06-18,2025-09-02,167347.66,2934.56,2.3,7.4
47,Banks-Wilson,Individual,Low Volume,Automotive,Any,Standard,Excellent,COD,2025-06-11,2025-06-15,279902.11,3235.29,4.0,6.5
48,Wilson-Young,Individual,Low Volume,Automotive,Morning,Premium,Poor,COD,2022-10-29,2024-05-18,10097.04,1578.89,9.6,7.4
49,Santiago-Paul,Enterprise,Low Volume,Manufacturing,Afternoon,Standard,Excellent,COD,2023-11-18,2025-08-13,422369.77,550.65,7.9,9.3
50,"Barber, Mcclure and Pena",Enterprise,Low Volume,Automotive,Evening,Premium,Good,Prepaid,2023-12-22,2025-06-05,77972.13,945.19,7.2,8.5
51,Johnson-Wood,Individual,Low Volume,Technology,Morning,Express,Fair,Net 15,2024-07-24,2025-01-27,484824.71,3072.45,7.8,9.1
52,Garcia-Jennings,Enterprise,Medium Volume,Healthcare,Any,Standard,Fair,Prepaid,2025-07-26,2025-08-24,231378.31,1444.77,4.4,8.1
53,Brown-Hill,Enterprise,Low Volume,Food & Beverage,Afternoon,Express,Excellent,Prepaid,2025-08-25,2025-09-18,437184.36,2794.98,1.9,9.4
54,Davis-Lewis,SME,Low Volume,Retail,Afternoon,Express,Poor,Net 15,2025-07-25,2025-08-29,415692.31,503.98,9.2,9.3
55,Buchanan and Sons,Enterprise,Low Volume,Technology,Morning,Express,Fair,Net 15,2025-08-18,2025-09-18,193696.89,453.95,3.0,7.3
56,Jones PLC,Individual,High Volume,Automotive,Evening,Standard,Good,Net 30,2025-01-28,2025-03-17,144152.82,4157.32,7.3,6.6
57,Murphy and Sons,SME,Low Volume,Food & Beverage,Morning,Standard,Excellent,COD,2023-05-13,2025-03-21,108611.72,790.12,9.5,8.4
58,Garrison-Thomas,SME,Low Volume,Manufacturing,Evening,Standard,Excellent,Net 15,2024-07-03,2024-08-29,210492.95,3979.8,5.1,6.4
59,Rodriguez Inc,Individual,Low Volume,Food & Beverage,Morning,Premium,Good,Net 15,2023-06-20,2023-10-06,146344.72,57.74,4.2,8.3
60,Chapman Inc,Individual,Medium Volume,Retail,Evening,Standard,Excellent,Prepaid,2023-10-16,2024-02-15,436792.39,265.5,4.5,7.5
61,"Fisher, Wilson and Brown",SME,Low Volume,Retail,Evening,Standard,Excellent,COD,2022-11-15,2024-02-23,67571.39,1793.88,4.0,8.6
62,"Rodriguez, Gordon and Dougherty",Individual,Low Volume,Technology,Any,Premium,Good,Net 15,2023-10-20,2023-11-19,32487.17,3892.14,5.1,7.2
63,"Boyd, Ellis and Maynard",Enterprise,High Volume,Retail,Evening,Express,Poor,Prepaid,2025-01-24,2025-02-07,127403.57,3778.79,2.7,7.4
64,Simmons-Rodriguez,Individual,Low Volume,Healthcare,Evening,Standard,Fair,Prepaid,2024-02-25,2025-04-07,444853.77,3729.37,9.1,7.5
65,Morris and Sons,SME,Low Volume,Automotive,Any,Express,Fair,Net 30,2024-01-18,2024-02-27,363813.58,440.69,6.4,9.3
66,"Richards, Joseph and James",SME,Low Volume,Retail,Morning,Express,Fair,COD,2023-07-17,2024-11-02,223511.97,3602.43,2.5,7.8
67,"Jacobs, Garcia and Miles",Individual,Low Volume,Healthcare,Any,Express,Excellent,Net 30,2023-08-08,2025-05-28,335920.76,2060.74,5.6,9.0
68,"Le, Lewis and Hayes",Enterprise,Medium Volume,Manufacturing,Any,Standard,Good,Net 30,2024-09-01,2024-11-27,118761.69,3243.56,4.3,9.8
69,Ross-Blair,Enterprise,High Volume,Automotive,Any,Express,Fair,Prepaid,2023-09-25,2024-05-08,381779.15,2890.91,5.8,7.6
70,Brooks-Hernandez,Enterprise,Low Volume,Retail,Morning,Premium,Good,Prepaid,2023-08-27,2025-07-22,259354.89,4572.04,2.1,9.1
71,Davis Inc,Enterprise,Low Volume,Food & Beverage,Evening,Premium,Poor,Net 15,2022-12-01,2024-12-31,62196.07,4271.49,5.1,9.6
72,Hawkins PLC,Enterprise,Low Volume,Automotive,Evening,Premium,Fair,Net 30,2023-11-01,2025-08-20,275448.58,1487.29,3.7,6.6
73,"Martinez, Gomez and Ortega",Individual,Low Volume,Automotive,Afternoon,Express,Good,Net 30,2024-05-26,2025-05-21,492581.14,3970.73,3.1,8.0
74,"Williams, Roberts and Edwards",Individual,Medium Volume,Healthcare,Any,Premium,Good,Net 30,2025-04-27,2025-05-12,33808.3,2020.89,7.5,7.9
75,Douglas and Sons,SME,Low Volume,Food & Beverage,Morning,Standard,Fair,Net 30,2024-03-28,2025-06-28,225537.27,3416.54,4.1,9.5
76,"Richardson, Farmer and Andrews",Individual,Low Volume,Food & Beverage,Afternoon,Standard,Poor,Net 30,2023-10-07,2025-05-04,415864.01,2614.61,3.7,6.6
77,"Austin, Day and Johnson",Enterprise,Low Volume,Healthcare,Evening,Standard,Fair,Net 15,2025-04-02,2025-09-06,317893.49,2776.67,2.1,7.2
78,Johnson-Nelson,Individual,Low Volume,Automotive,Afternoon,Premium,Good,Net 15,2025-03-16,2025-08-05,329707.7,3617.13,6.4,9.4
79,Smith-Kane,Enterprise,Low Volume,Retail,Morning,Premium,Fair,Net 15,2025-06-25,2025-08-12,383712.54,2112.1,6.8,8.0
80,Figueroa Inc,SME,Low Volume,Automotive,Evening,Express,Good,Prepaid,2023-12-02,2024-01-31,149419.5,411.22,1.5,7.8
81,Barnes-Peterson,Enterprise,Low Volume,Healthcare,Afternoon,Express,Fair,COD,2024-04-22,2024-10-29,487711.69,697.29,4.3,8.2
82,"Carlson, Ware and Moore",SME,Medium Volume,Retail,Evening,Express,Good,Net 15,2024-11-17,2025-07-05,49309.01,1486.55,4.5,8.5
83,Nelson Ltd,Enterprise,Medium Volume,Healthcare,Evening,Standard,Good,Prepaid,2022-11-12,2024-01-27,497988.74,2360.73,8.9,8.0
84,Nelson-Fischer,SME,High Volume,Food & Beverage,Any,Standard,Good,COD,2024-07-15,2024-09-02,25280.41,1442.71,6.4,9.4
85,Gregory-Watkins,SME,Low Volume,Food & Beverage,Morning,Standard,Poor,Net 15,2024-01-03,2024-11-27,441345.41,3651.16,7.9,7.5
86,Foster PLC,Individual,Low Volume,Food & Beverage,Afternoon,Express,Fair,Net 30,2023-08-23,2023-10-03,193788.06,2279.25,5.9,9.3
87,Saunders LLC,Individual,Low Volume,Retail,Afternoon,Standard,Poor,COD,2023-05-01,2024-01-08,397653.72,1728.47,9.5,9.0
88,Burgess-Thompson,Individual,Medium Volume,Technology,Morning,Standard,Excellent,Net 15,2023-01-28,2024-01-29,357082.33,4029.63,5.7,6.6
89,"Hansen, Barnett and Gomez",Enterprise,Low Volume,Healthcare,Evening,Standard,Poor,COD,2024-10-29,2025-03-07,297268.6,2561.21,5.6,8.0
90,Smith-Morse,SME,Low Volume,Retail,Evening,Express,Excellent,Prepaid,2024-12-10,2025-08-10,292267.37,3993.94,7.5,8.8
91,"Sullivan, Bowman and Roberts",SME,High Volume,Healthcare,Afternoon,Premium,Excellent,Prepaid,2024-06-11,2024-12-16,86085.52,3163.67,6.6,9.4
92,Solis PLC,Individual,Medium Volume,Manufacturing,Morning,Premium,Excellent,Net 15,2025-08-12,2025-08-29,10449.75,1602.78,2.4,8.8
93,Davis-Richard,Individual,Low Volume,Technology,Morning,Premium,Good,Net 15,2024-10-13,2025-01-03,280882.5,4990.71,5.3,7.5
94,"Miller, Harrell and Reese",SME,Low Volume,Food & Beverage,Evening,Premium,Fair,COD,2024-06-25,2024-10-02,305428.21,1001.71,3.2,8.2
95,Dixon Inc,SME,Medium Volume,Healthcare,Afternoon,Premium,Poor,COD,2025-01-19,2025-05-27,240421.91,2824.41,9.4,8.9
96,Bell-Mullen,Individual,Medium Volume,Automotive,Any,Express,Fair,Net 15,2023-04-19,2024-11-09,145935.87,1473.77,7.4,7.4
97,Thomas and Sons,SME,Low Volume,Automotive,Any,Standard,Good,COD,2023-02-27,2023-08-08,466578.94,3496.05,2.2,8.5
98,"Jones, Bean and Burton",Enterprise,Low Volume,Retail,Afternoon,Premium,Good,Net 30,2023-03-05,2024-05-09,50998.78,1684.95,5.3,8.7
99,"Cole, Glass and Cunningham",Individual,Medium Volume,Manufacturing,Any,Premium,Poor,Prepaid,2024-05-28,2025-03-28,325618.81,3791.76,3.6,7.1
100,"Stewart, Gonzales and Harrison",Enterprise,High Volume,Automotive,Afternoon,Premium,Excellent,Net 15,2024-08-03,2025-04-20,209524.61,4196.14,9.4,6.1
101,"Brown, Romero and Collins",SME,Low Volume,Manufacturing,Evening,Standard,Excellent,COD,2025-02-07,2025-05-19,284412.97,581.14,9.8,7.1
102,Jones-Lin,Individual,Low Volume,Food & Beverage,Any,Standard,Poor,COD,2022-11-20,2025-04-22,97212.89,607.6,2.5,7.8
103,"Cruz, Carpenter and Best",Enterprise,Medium Volume,Retail,Evening,Express,Good,Net 15,2024-07-24,2025-05-31,305866.3,3211.69,4.6,7.7
104,"Pearson, Morris and Alvarez",SME,Medium Volume,Automotive,Morning,Standard,Good,Prepaid,2022-11-02,2023-04-09,162477.23,1277.83,3.3,6.9
105,Shepherd LLC,SME,Low Volume,Healthcare,Morning,Express,Fair,Net 15,2022-11-25,2025-08-31,32000.04,635.21,3.8,7.6
106,"Thompson, Wright and Kim",Individual,Low Volume,Healthcare,Morning,Premium,Fair,COD,2022-12-20,2024-03-05,307698.1,1134.69,2.2,6.6
107,Cox LLC,Individual,Low Volume,Healthcare,Any,Premium,Poor,Net 15,2024-04-13,2024-11-02,381167.95,3417.69,6.4,9.1
108,"Harper, Mccormick and Holland",Individual,Low Volume,Automotive,Evening,Standard,Excellent,Net 30,2025-01-14,2025-01-30,414558.25,4519.3,2.8,8.1
109,"Hughes, King and York",Individual,Medium Volume,Technology,Morning,Premium,Good,Prepaid,2022-12-31,2025-08-14,46379.88,2576.36,8.3,7.8
110,Cook PLC,SME,Low Volume,Food & Beverage,Morning,Premium,Poor,COD,2024-07-10,2025-04-25,361916.76,2009.95,8.3,9.0
111,Ponce-Hale,Enterprise,Low Volume,Technology,Evening,Premium,Excellent,Net 30,2025-06-19,2025-07-25,467356.82,391.64,9.4,6.1
112,Collins Group,Enterprise,Low Volume,Automotive,Any,Express,Poor,Prepaid,2024-07-02,2025-04-13,434940.52,4538.5,4.4,8.7
113,Santiago Ltd,Individual,Low Volume,Manufacturing,Evening,Standard,Good,Prepaid,2023-09-14,2025-09-16,264892.43,3652.9,3.0,6.0
114,Lucas Group,SME,High Volume,Technology,Any,Premium,Poor,Net 15,2025-06-15,2025-08-02,124508.51,1763.49,3.5,9.7
115,White-Lewis,Enterprise,Low Volume,Retail,Any,Premium,Excellent,Net 15,2022-10-08,2025-07-24,103834.73,549.44,1.3,8.4
116,Cooke and Sons,Enterprise,Low Volume,Manufacturing,Morning,Express,Poor,Net 15,2024-03-04,2024-04-16,270340.14,3784.21,8.0,6.6
117,Romero PLC,Enterprise,Low Volume,Automotive,Evening,Premium,Fair,Net 15,2025-04-01,2025-08-21,151580.45,759.14,6.9,6.9
118,Stanley PLC,Enterprise,Medium Volume,Food & Beverage,Afternoon,Premium,Poor,Prepaid,2025-05-14,2025-05-30,24395.16,1754.85,6.8,7.5
119,White Ltd,Individual,Low Volume,Technology,Any,Standard,Fair,Prepaid,2023-11-05,2025-04-15,92755.61,2712.74,3.2,6.9
120,Griffith Inc,Enterprise,Low Volume,Technology,Morning,Premium,Poor,Prepaid,2025-02-21,2025-05-18,279086.09,713.76,3.2,6.8
121,Montes PLC,SME,Low Volume,Healthcare,Morning,Premium,Good,Net 30,2024-09-29,2025-01-08,134962.33,3384.68,6.4,9.5
122,Young-Allen,Individual,Medium Volume,Automotive,Afternoon,Express,Good,COD,2024-12-17,2025-09-09,152290.82,4549.52,2.9,6.8
123,Richardson PLC,Individual,Low Volume,Technology,Afternoon,Premium,Good,Prepaid,2025-01-25,2025-09-15,457648.1,2782.79,8.0,7.5
124,Strickland-Shaw,SME,Low Volume,Healthcare,Evening,Express,Poor,Prepaid,2024-02-07,2024-10-11,50205.51,4907.53,5.2,9.4
125,Solis and Sons,SME,Low Volume,Healthcare,Any,Standard,Good,Net 15,2023-03-15,2025-05-25,9093.73,2788.89,6.3,8.9
126,Sawyer-Spencer,Enterprise,Medium Volume,Healthcare,Afternoon,Express,Good,Prepaid,2022-11-15,2023-03-01,275770.62,4720.15,4.0,9.1
127,Mitchell and Sons,Individual,Low Volume,Automotive,Any,Express,Good,COD,2025-04-03,2025-05-19,85463.59,3615.55,5.4,9.7
128,Guerra Inc,Individual,Low Volume,Retail,Morning,Standard,Excellent,Net 30,2025-06-07,2025-09-13,206783.72,4220.6,3.1,8.8
129,Wilkerson-Arias,Individual,High Volume,Technology,Evening,Standard,Poor,Prepaid,2023-05-20,2024-05-07,8850.15,2684.45,4.7,6.1
130,Young-Vang,Individual,Low Volume,Healthcare,Morning,Premium,Poor,Net 15,2023-11-27,2024-08-01,54401.2,526.75,2.3,6.8
131,Combs Ltd,SME,Low Volume,Healthcare,Any,Standard,Fair,Prepaid,2022-10-19,2023-10-11,230039.88,1253.88,7.3,7.2
132,Mitchell Group,Enterprise,Low Volume,Automotive,Morning,Standard,Poor,Prepaid,2023-02-26,2024-12-08,189207.61,2406.23,6.7,8.8
133,"Harrison, Gilbert and Bullock",SME,High Volume,Automotive,Evening,Premium,Excellent,Net 30,2023-02-18,2023-03-07,115653.48,4511.3,7.2,8.3
134,Dunn Ltd,Enterprise,Medium Volume,Automotive,Evening,Premium,Excellent,Net 15,2023-05-13,2024-10-17,464454.41,1606.7,9.7,8.3
135,Young-Martinez,Individual,Low Volume,Technology,Morning,Express,Good,Net 15,2023-12-26,2024-05-24,283781.26,4254.74,7.1,8.2
136,"Bryant, Rodriguez and Stein",Individual,Medium Volume,Manufacturing,Morning,Premium,Fair,Net 30,2024-08-19,2025-04-12,49745.21,1199.11,1.7,8.4
137,"Andrews, Higgins and Carter",Individual,Low Volume,Technology,Evening,Standard,Fair,Prepaid,2022-10-07,2022-10-08,245811.12,1811.27,9.5,7.7
138,"Butler, Beck and Miller",Individual,Low Volume,Technology,Morning,Premium,Fair,Net 15,2023-10-10,2025-09-01,356841.16,456.09,2.4,8.8
139,"Stephens, Hartman and Romero",Individual,Low Volume,Technology,Evening,Express,Excellent,Net 30,2022-12-02,2022-12-22,3592.42,1575.92,4.2,7.1
140,Reid LLC,Enterprise,Medium Volume,Technology,Any,Premium,Poor,Net 30,2025-05-03,2025-06-07,14104.69,1801.88,1.8,8.4
141,Cooper Ltd,SME,Medium Volume,Retail,Evening,Express,Poor,Net 30,2022-10-06,2024-09-14,362697.08,2819.71,9.9,7.0
142,"Moss, Cook and Williams",Individual,Low Volume,Technology,Afternoon,Standard,Fair,COD,2023-01-10,2024-06-29,134934.99,772.38,2.5,7.1
143,Greer Ltd,Enterprise,Medium Volume,Healthcare,Evening,Standard,Poor,Net 15,2025-02-26,2025-06-01,229472.95,720.67,1.1,7.6
144,"White, Taylor and Baldwin",SME,Low Volume,Healthcare,Any,Express,Poor,Net 15,2024-10-20,2025-08-31,150917.21,3035.9,7.3,7.9
145,Williams and Sons,SME,Medium Volume,Healthcare,Evening,Premium,Poor,Net 15,2022-10-29,2025-05-21,163617.23,1437.49,8.1,7.5
146,Robertson-Hays,Enterprise,Low Volume,Food & Beverage,Afternoon,Premium,Excellent,Prepaid,2023-08-30,2024-10-10,471544.48,1087.76,8.2,9.3
147,"Lee, Kelly and Norman",SME,High Volume,Automotive,Any,Standard,Fair,Net 15,2023-06-23,2025-06-01,127088.16,813.01,4.8,7.5
148,Lloyd Group,Individual,Low Volume,Technology,Any,Premium,Poor,Net 30,2023-09-17,2025-06-29,395569.74,1829.67,9.1,8.1
149,Morgan-Lopez,Enterprise,Low Volume,Retail,Afternoon,Premium,Fair,Net 15,2024-12-11,2025-06-24,323852.92,269.27,9.9,8.7
150,"Adams, Miller and Coleman",SME,Medium Volume,Technology,Morning,Standard,Excellent,COD,2023-10-26,2024-08-19,111778.54,3746.92,6.0,8.8
151,Gardner LLC,SME,Medium Volume,Technology,Any,Premium,Good,COD,2025-09-13,2025-09-13,498853.66,2439.72,3.7,9.7
152,Parker-Morrison,Individual,High Volume,Manufacturing,Evening,Express,Fair,Prepaid,2023-09-13,2024-07-23,392350.73,2629.52,4.1,6.4
153,West-Acosta,SME,Low Volume,Healthcare,Morning,Express,Excellent,Net 30,2024-10-13,2025-08-19,12269.97,1748.24,2.0,9.2
154,Hill-Whitney,Individual,Low Volume,Manufacturing,Afternoon,Premium,Good,COD,2024-07-23,2025-08-27,280364.63,4794.39,3.1,7.6
155,"Sullivan, Palmer and Brady",Individual,Medium Volume,Automotive,Any,Express,Excellent,Net 15,2022-12-10,2023-05-21,225337.93,2176.29,1.0,6.9
156,"Gregory, Kim and Martinez",Individual,Medium Volume,Retail,Morning,Premium,Good,COD,2022-10-23,2023-06-30,163666.47,2314.87,3.4,9.5
157,Reyes-Bradley,Individual,Low Volume,Healthcare,Any,Premium,Poor,Net 30,2024-08-26,2025-04-18,174614.39,4235.31,6.6,9.3
158,Watson-Hines,SME,Low Volume,Food & Beverage,Morning,Premium,Good,COD,2024-10-02,2025-04-22,59812.96,1561.63,2.6,8.8
159,Edwards-Ramirez,SME,Low Volume,Food & Beverage,Afternoon,Premium,Poor,Prepaid,2024-04-21,2025-08-29,93691.1,3195.73,7.2,8.6
160,Porter Group,Individual,Low Volume,Manufacturing,Any,Express,Good,Net 15,2022-10-17,2025-06-18,157975.43,2282.45,1.5,7.4
161,Padilla-Lewis,Enterprise,High Volume,Manufacturing,Any,Premium,Poor,Prepaid,2023-01-26,2024-09-08,342663.64,2107.37,8.6,8.0
162,Gonzalez-Taylor,Enterprise,High Volume,Manufacturing,Evening,Standard,Fair,Net 15,2024-10-18,2024-11-11,269266.7,882.63,5.1,9.0
163,"Wallace, Miller and Fleming",Individual,Low Volume,Food & Beverage,Morning,Premium,Excellent,COD,2023-03-27,2025-05-01,387781.4,4125.25,4.3,9.3
164,Mckinney-Pierce,Individual,High Volume,Technology,Afternoon,Express,Excellent,Net 15,2023-09-04,2024-04-07,149556.76,4996.6,5.0,7.4
165,Joseph Ltd,SME,Low Volume,Retail,Afternoon,Standard,Fair,Prepaid,2023-08-13,2024-12-14,83824.83,739.21,2.9,6.8
166,"Walker, Galloway and Conner",SME,High Volume,Food & Beverage,Evening,Premium,Good,COD,2025-02-04,2025-03-29,489521.08,1498.54,6.2,9.8
167,Spencer-Wood,Individual,Low Volume,Retail,Afternoon,Express,Excellent,COD,2024-03-13,2025-06-02,433656.75,678.1,8.8,7.0
168,"Henson, Jones and Sanders",Enterprise,Low Volume,Automotive,Any,Express,Good,COD,2024-05-15,2025-05-02,314278.6,1907.1,1.7,9.2
169,Hammond-Morrow,SME,Low Volume,Food & Beverage,Evening,Premium,Fair,Prepaid,2024-02-25,2024-04-07,475176.79,1670.08,1.0,9.1
170,"Jones, Owens and Holmes",Individual,Low Volume,Technology,Evening,Standard,Poor,Net 15,2025-08-19,2025-08-22,484096.16,4133.0,5.5,7.3
171,"Bowman, White and Burch",Individual,Medium Volume,Food & Beverage,Afternoon,Premium,Poor,COD,2025-03-15,2025-06-04,447183.17,3823.16,1.4,8.5
172,Guerra PLC,Enterprise,Low Volume,Retail,Afternoon,Express,Poor,Net 30,2025-06-13,2025-06-27,495927.28,2167.61,10.0,9.6
173,Donovan-Perez,SME,Low Volume,Manufacturing,Evening,Standard,Fair,COD,2023-03-18,2025-08-01,42127.84,3339.32,6.8,6.2
174,Singleton-King,Individual,Low Volume,Automotive,Afternoon,Express,Excellent,Net 30,2024-04-09,2025-03-10,1542.07,2410.19,2.2,6.9
175,Weber PLC,Enterprise,Low Volume,Retail,Evening,Standard,Poor,Net 15,2024-05-14,2025-02-01,239372.42,1183.29,1.8,9.2
176,Vargas PLC,SME,Medium Volume,Healthcare,Afternoon,Express,Good,Net 15,2024-03-22,2024-06-14,35137.39,2838.29,6.5,6.7
177,"Winters, Morgan and Bradshaw",Enterprise,Medium Volume,Automotive,Afternoon,Express,Poor,Net 15,2024-09-09,2024-09-24,44257.33,547.3,7.8,8.4
178,Williams Ltd,SME,Medium Volume,Healthcare,Afternoon,Standard,Fair,Net 30,2025-04-22,2025-08-15,124835.35,3024.95,7.5,7.1
